ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
27	"AT1G78680"	"GGH2"	chr1	+	29595199	29595289	29595372	29595435	29594911	29594972	29595561	29595650	27	242,288,229	197,303,268	157,333,145	175,324,165	239	212	0.651554402358	0.88844088361	0.521,0.457,0.431	0.443,0.477,0.438	0.017
28	"AT4G11670"	"AT4G11670"	chr4	-	7047882	7047975	7048107	7048263	7047503	7047575	7048350	7048536	28	24,29,23	26,26,29	15,14,11	14,8,13	305	242	0.530893076999	0.804623726951	0.423,0.469,0.386	0.459,0.581,0.402	-0.055
29	"AT2G17190"	"DSK2A"	chr2	-	7478502	7478592	7478736	7478765	7478264	7478420	7479154	7479210	29	34,43,36	145,143,158	35,57,27	224,278,124	178	239	0.0883970202191	0.269400442572	0.239,0.288,0.234	0.173,0.216,0.226	0.049
30	"AT1G60640"	"AT1G60640"	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	30	21,41,30	44,32,26	21,33,24	65,53,33	209	209	0.0800373888234	0.269400442572	0.323,0.562,0.536	0.244,0.384,0.421	0.124
31	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163578	21163648	21161310	21161353	21163726	21163968	31	4,0,0	0,0,0	15,11,2	2,0,4	262	219	1	1.0	1.0,NA,NA	0.862,1.0,0.295	0.281
32	"AT2G14530"	"TBL13"	chr2	+	6188028	6188206	6188432	6188573	6187420	6187883	6189083	6189204	32	14,8,25	14,30,38	11,30,15	42,83,42	327	290	0.106765360685	0.310590140175	0.47,0.191,0.368	0.188,0.243,0.241	0.119
33	"AT5G62575"	"SDH7B"	chr5	+	25117686	25117755	25118053	25118156	25117519	25117601	25118494	25118892	33	35,30,20	119,103,99	44,38,24	152,177,116	218	252	0.586585805561	0.85321571718	0.254,0.252,0.189	0.251,0.199,0.193	0.017
34	"AT5G62575"	"SDH7B"	chr5	+	25117689	25117755	25118053	25118156	25117487	25117601	25118494	25118735	34	7,10,9	119,103,99	22,20,15	152,177,116	215	252	0.0513234020051	0.234621266309	0.064,0.102,0.096	0.145,0.117,0.132	-0.044
35	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412862	20412265	20412399	20413137	20413218	35	9,8,19	35,31,31	1,19,9	21,49,22	185	233	0.490090853764	0.804251657459	0.245,0.245,0.436	0.057,0.328,0.34	0.067
36	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412877	20412265	20412399	20413137	20413218	36	0,0,0	35,31,31	0,1,0	21,49,22	200	233	1	1.0	0.0,0.0,0.0	0.0,0.023,0.0	-0.008
37	"AT4G33925"	"AT4G33925"	chr4	+	16263437	16263459	16263574	16263680	16263236	16263352	16263761	16263869	37	0,0,2	18,13,16	4,0,2	14,21,6	171	255	0.0111167406151	0.0711471399366	0.0,0.0,0.157	0.299,0.0,0.332	-0.158
38	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454443	10454605	38	30,58,36	126,202,197	38,77,32	63,94,56	263	396	1.42442402318e-09	4.55815687418e-08	0.264,0.302,0.216	0.476,0.552,0.462	-0.236
39	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454695	10454844	39	30,58,36	40,84,59	38,77,32	14,60,31	263	396	0.00117195155667	0.0187512249067	0.53,0.51,0.479	0.803,0.659,0.608	-0.184
40	"AT3G28080"	"AT3G28080"	chr3	+	10453377	10453624	10454443	10454605	10452019	10452133	10454695	10454844	40	69,149,124	111,270,242	43,120,73	122,142,72	396	311	0.351857346099	0.662319710304	0.328,0.302,0.287	0.217,0.399,0.443	-0.047
41	"AT5G10290"	"AT5G10290"	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161	41	15,36,21	40,95,61	10,32,16	44,129,58	220	290	0.0785306516707	0.269400442572	0.331,0.333,0.312	0.231,0.246,0.267	0.077
42	"AT1G66880"	"AT1G66880"	chr1	+	24950291	24950846	24952951	24953677	24948885	24949495	24953891	24953921	42	0,1,6	28,47,48	0,0,3	32,67,48	704	875	0.0668931152705	0.25763398546	0.0,0.026,0.134	0.0,0.0,0.072	0.029
43	"AT1G66880"	"AT1G66880"	chr1	+	24951434	24952058	24952951	24953677	24950291	24950846	24953891	24953921	43	16,20,16	28,47,44	0,16,8	32,67,49	773	875	0.00058506370902	0.0124813591258	0.393,0.325,0.292	0.0,0.213,0.156	0.214
45	"AT3G60910"	"AT3G60910"	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	45	19,10,3	23,15,14	16,28,4	34,54,33	169	202	0.303097344262	0.625749355896	0.497,0.443,0.204	0.36,0.383,0.127	0.091
46	"AT3G16230"	"AT3G16230"	chr3	+	5500490	5500588	5500758	5500807	5500177	5500272	5500945	5501069	46	1,12,1	11,14,3	4,6,1	24,21,5	247	198	0.322396211278	0.644792422556	0.068,0.407,0.211	0.118,0.186,0.138	0.081
48	"AT4G26555"	"FKBP16-1"	chr4	-	13405078	13405139	13405229	13405323	13404951	13404997	13405430	13405465	48	125,85,91	92,101,77	117,205,82	148,201,93	243	210	0.182765054483	0.433220869886	0.54,0.421,0.505	0.406,0.468,0.432	0.053
49	"AT2G33980"	"NUDT22"	chr2	-	14353898	14353980	14354398	14354645	14352471	14352578	14355447	14355545	49	6,10,12	20,23,18	2,10,8	19,16,12	396	231	0.771197510297	1.0	0.149,0.202,0.28	0.058,0.267,0.28	0.009
51	"AT2G45140"	"PVA12"	chr2	+	18611958	18612009	18612541	18612619	18611719	18611878	18612857	18613290	51	37,70,47	129,145,181	53,82,32	206,239,138	200	227	0.335374287967	0.650422861512	0.246,0.354,0.228	0.226,0.28,0.208	0.038
52	"AT1G51070"	"BHLH115"	chr1	+	18928692	18928755	18928858	18928936	18927886	18928130	18929018	18929181	52	113,134,95	104,148,117	81,172,93	187,256,133	212	227	0.00260943405822	0.0278339632877	0.538,0.492,0.465	0.317,0.418,0.428	0.111
53	"AT3G10030"	"AT3G10030"	chr3	-	3093464	3093556	3093630	3093684	3092909	3093145	3093769	3093914	53	24,28,23	48,58,61	15,16,16	39,76,33	203	241	0.202994768145	0.463988041474	0.372,0.364,0.309	0.313,0.2,0.365	0.056
54	"AT5G42620"	"AT5G42620"	chr5	+	17069472	17069572	17069811	17069881	17069262	17069389	17069965	17070118	54	55,71,55	28,91,54	43,69,33	37,72,44	249	219	0.484393766878	0.804251657459	0.633,0.407,0.473	0.505,0.457,0.397	0.051
55	"AT5G35180"	"AT5G35180"	chr5	+	13425403	13425469	13425637	13425696	13425138	13425192	13425916	13425993	55	21,39,14	33,43,11	21,46,30	29,42,17	215	208	0.392988383244	0.71860732936	0.381,0.467,0.552	0.412,0.514,0.631	-0.052
56	"AT3G28130"	"AT3G28130"	chr3	+	10467731	10467978	10468076	10468238	10466086	10466200	10468314	10468463	56	196,260,267	237,248,283	80,124,81	121,168,104	396	311	0.0359930055412	0.209413850422	0.394,0.452,0.426	0.342,0.367,0.38	0.061
57	"AT3G56160"	"BASS4"	chr3	-	20839033	20839055	20839374	20839488	20838308	20838394	20839733	20839802	57	69,62,30	2,0,0	125,233,112	0,0,0	263	171	1	1.0	0.957,1.0,1.0	1.0,1.0,1.0	-0.014
58	"AT1G54730"	"AT1G54730"	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842	58	36,35,30	84,104,76	15,46,17	30,50,28	212	209	0.00968591168193	0.0711471399366	0.297,0.249,0.28	0.33,0.476,0.374	-0.118
59	"AT1G30810"	"JMJ18"	chr1	-	10941469	10941580	10941766	10941825	10941018	10941105	10942045	10942292	59	0,0,2	24,23,11	0,1,0	9,14,14	208	260	1	1.0	0.0,0.0,0.185	0.0,0.082,0.0	0.034
60	"AT4G27040"	"VP22-1"	chr4	-	13574948	13575081	13575225	13575299	13574741	13574852	13575398	13575538	60	5,8,4	84,106,70	2,3,3	61,100,44	223	282	0.137153483876	0.365742623669	0.07,0.087,0.067	0.04,0.037,0.079	0.023
62	"AT1G03090"	"MCCA"	chr1	+	741147	741207	741508	741601	740969	741065	741683	741795	62	16,16,9	41,23,33	1,26,4	21,47,26	209	242	0.156223802919	0.390629362223	0.311,0.446,0.24	0.052,0.39,0.151	0.135
64	"AT4G04330"	"AT4G04330"	chr4	-	2117037	2117054	2118002	2118120	2116865	2116928	2118202	2118297	64	397,430,375	53,71,63	244,226,107	57,21,23	267	166	0.632669224829	0.88844088361	0.823,0.79,0.787	0.727,0.87,0.743	0.02
65	"AT2G14285"	"AT2G14285"	chr2	-	6053097	6053135	6053487	6053537	6052852	6052917	6053917	6053994	65	0,2,0	104,100,122	0,3,0	115,146,67	199	187	1	1.0	0.0,0.018,0.0	0.0,0.019,0.0	-0.0
66	"AT4G35570"	"HMGB5"	chr4	-	16887665	16887710	16887810	16887868	16887508	16887589	16887968	16888055	66	100,119,98	169,171,179	119,144,88	182,227,122	207	194	0.509829079926	0.804623726951	0.357,0.395,0.339	0.38,0.373,0.403	-0.022
67	"AT3G23255"	"AT3G23255"	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570	67	7,12,24	33,47,30	2,11,6	52,54,33	193	266	0.00900649237604	0.0711471399366	0.226,0.26,0.524	0.05,0.219,0.2	0.18
68	"AT3G62750"	"BGLU8"	chr3	+	23215853	23216083	23216168	23216194	23215673	23215789	23216267	23216355	68	243,329,330	86,110,119	315,567,247	86,131,51	379	175	0.0020090596098	0.0257159630054	0.566,0.58,0.561	0.628,0.667,0.691	-0.093
69	"AT4G02120"	"AT4G02120"	chr4	+	942339	942386	942473	942543	942202	942265	942609	942672	69	44,43,31	69,74,68	23,51,20	58,76,29	196	219	0.925337894809	1.0	0.416,0.394,0.337	0.307,0.429,0.435	-0.008
70	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942202	942265	942737	942827	70	4,4,4	73,87,74	0,4,0	37,77,28	219	212	0.0684340273877	0.25763398546	0.05,0.043,0.05	0.0,0.048,0.0	0.032
71	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942339	942386	942737	942827	71	107,95,82	73,80,74	49,81,27	32,69,25	219	212	0.991129141945	1.0	0.587,0.535,0.518	0.597,0.532,0.511	-0.0
73	"AT3G52072"	"AT3G52072"	chr3	-	19313645	19313836	19314090	19314213	19313233	19313532	19314478	19314577	73	3,4,0	2,1,3	2,4,7	0,0,3	272	340	0.010202766582	0.0711471399366	0.652,0.833,0.0	1.0,1.0,0.745	-0.42
