ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
79	"AT5G16280"	"AT5G16280"	chr5	-	5329675	5329735	5329469	5329550	5329841	5329962
80	"AT5G27000"	"ATK4"	chr5	+	9502550	9502754	9502244	9502471	9502836	9503134
81	"AT5G40490"	"AT5G40490"	chr5	+	16225906	16225947	16225375	16225607	16226050	16226214
82	"AT5G52920"	"PKP2"	chr5	+	21466324	21466433	21466099	21466248	21466504	21466880
83	"AT1G56280"	"ATDI19"	chr1	-	21073305	21073477	21072854	21073224	21073560	21073793
84	"AT1G56280"	"ATDI19"	chr1	-	21073908	21073974	21073560	21073793	21074056	21074199
85	"AT3G66654"	"CYP21-4"	chr3	+	2089355	2089441	2089131	2089182	2089738	2089876
86	"AT5G65940"	"CHY1"	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781
87	"AT5G65940"	"CHY1"	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235
89	"AT4G16190"	"AT4G16190"	chr4	+	9172079	9172199	9171466	9171985	9172274	9172521
90	"AT1G67500"	"REV3"	chr1	-	25294487	25294579	25292788	25294409	25294657	25294841
91	"AT5G54200"	"AT5G54200"	chr5	-	21995308	21995399	21994885	21995043	21995636	21997076
92	"AT1G73875"	"CCR4-5"	chr1	+	27781917	27781970	27781778	27781844	27782311	27782393
93	"AT1G75850"	"VPS35B"	chr1	-	28478810	28478918	28478621	28478725	28479023	28479104
94	"AT3G55520"	"FKBP20-1"	chr3	+	20594401	20594535	20594154	20594285	20594620	20594700
95	"AT3G56150"	"TIF3C1"	chr3	-	20836796	20836851	20834953	20836708	20837064	20837157
96	"AT3G56150"	"TIF3C1"	chr3	-	20836796	20836874	20834953	20836708	20837064	20837160
97	"AT3G29130"	"AT3G29130"	chr3	-	11103190	11103335	11102722	11102875	11103805	11103852
98	"AT4G24680"	"MOS1"	chr4	+	12735670	12735787	12735164	12735267	12736011	12737089
101	"AT4G11600"	"GPX6"	chr4	-	7010723	7010785	7010510	7010629	7010875	7010952
103	"AT3G16700"	"AT3G16700"	chr3	+	5688438	5688491	5688064	5688230	5688826	5688889
105	"AT4G18020"	"APRR2"	chr4	-	10004207	10004273	10003974	10004098	10004481	10004736
106	"AT5G59250"	"AT5G59250"	chr5	+	23905999	23906062	23905849	23905897	23906164	23906245
108	"AT5G20090"	"MPC1"	chr5	-	6787901	6788002	6787761	6787816	6788522	6788637
109	"AT5G20090"	"MPC1"	chr5	-	6787901	6788005	6787761	6787816	6788522	6788637
110	"AT1G01790"	"KEA1"	chr1	+	289717	289776	289538	289592	290027	290094
111	"AT5G13260"	"AT5G13260"	chr5	+	4244406	4244456	4244261	4244324	4244548	4244576
112	"AT1G65260"	"VIPP1"	chr1	+	24238279	24238354	24237439	24237521	24238779	24238850
113	"AT3G18070"	"BGLU43"	chr3	+	6188084	6188167	6187930	6188002	6188265	6188517
114	"AT3G18070"	"BGLU43"	chr3	+	6189279	6189311	6188816	6189037	6189403	6189506
115	"AT1G67060"	"AT1G67060"	chr1	+	25038083	25038168	25037052	25037148	25038271	25038393
116	"AT1G64600"	"AT1G64600"	chr1	+	23996450	23996524	23995970	23996373	23996598	23996693
117	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3489484	3489589	3490054	3490152
118	"AT1G10570"	"ULP1C"	chr1	+	3490054	3490152	3489673	3489776	3490367	3490490
119	"AT3G19190"	"ATATG2"	chr3	+	6640611	6641612	6639710	6640085	6641750	6641899
120	"AT3G53190"	"AT3G53190"	chr3	+	19715541	19715750	19714515	19714770	19716125	19716376
121	"AT5G09300"	"T5E8_100"	chr5	-	2886132	2886270	2885855	2886038	2886563	2886863
122	"AT3G59300"	"AT3G59300"	chr3	+	21920404	21920503	21920190	21920307	21920716	21920870
123	"AT5G66420"	"AT5G66420"	chr5	-	26522762	26523010	26522459	26522638	26523128	26523342
124	"AT5G54750"	"AT5G54750"	chr5	+	22242403	22242501	22242063	22242136	22242750	22242850
125	"AT5G54750"	"AT5G54750"	chr5	+	22242403	22242540	22242063	22242136	22242750	22242850
126	"AT2G37080"	"ICR2"	chr2	-	15584037	15584111	15583685	15583866	15584945	15585186
127	"AT1G29940"	"NRPA2"	chr1	-	10480805	10480931	10480557	10480698	10481203	10481279
128	"AT5G13980"	"AT5G13980"	chr5	+	4513925	4514025	4513841	4513889	4514091	4514425
129	"AT5G13980"	"AT5G13980"	chr5	+	4513956	4514025	4513841	4513889	4514091	4514415
131	"AT5G22720"	"AT5G22720"	chr5	-	7548816	7548921	7548647	7548727	7549289	7549368
132	"AT5G22720"	"AT5G22720"	chr5	-	7549055	7549137	7548816	7548921	7549289	7549368
133	"AT1G17960"	"AT1G17960"	chr1	-	6182972	6183045	6182821	6182916	6183194	6183495
135	"AT5G09290"	"SAL4"	chr5	+	2883474	2883564	2883195	2883385	2883662	2883816
136	"AT1G54450"	"B''DELTA"	chr1	-	20337174	20337284	20336798	20337081	20337373	20337521
137	"AT1G54450"	"B''DELTA"	chr1	-	20338402	20338502	20338157	20338263	20338582	20338688
140	"AT2G41490"	"GPT"	chr2	+	17303484	17303545	17303233	17303320	17303639	17303680
141	"AT4G33110"	"AT4G33110"	chr4	-	15973086	15973197	15972922	15973006	15973294	15973394
142	"AT4G03960"	"AT4G03960"	chr4	+	1888074	1888168	1887527	1887866	1888492	1888550
143	"AT1G09840"	"ASK10"	chr1	-	3200035	3200099	3199380	3199623	3200182	3200254
144	"AT1G26170"	"AT1G26170"	chr1	-	9053703	9053875	9053463	9053579	9053957	9054050
145	"AT3G56080"	"AT3G56080"	chr3	-	20811069	20811315	20810794	20810989	20811413	20811585
146	"AT4G15470"	"AT4G15470"	chr4	+	8844725	8844839	8843566	8843952	8845032	8845190
147	"AT1G34780"	"APRL4"	chr1	-	12749649	12749837	12749441	12749566	12749935	12750383
148	"AT1G34780"	"APRL4"	chr1	-	12749736	12749837	12749441	12749566	12749935	12750383
149	"AT2G36355"	"AT2G36355"	chr2	+	15242810	15242921	15242375	15242649	15243021	15243102
150	"AT2G36355"	"AT2G36355"	chr2	+	15242817	15242921	15242602	15242649	15243021	15243102
151	"AT3G58050"	"AT3G58050"	chr3	+	21493595	21493682	21493247	21493507	21493769	21493911
153	"AT2G34357"	"AT2G34357"	chr2	+	14499052	14499111	14498589	14498723	14499205	14499757
155	"AT1G20890"	"AT1G20890"	chr1	-	7266971	7267082	7266736	7266875	7267226	7267323
156	"AT5G04540"	"MTM2"	chr5	-	1297882	1297947	1297415	1297695	1298026	1298086
157	"AT5G24750"	"AT5G24750"	chr5	-	8491614	8491654	8491079	8491304	8491767	8491827
158	"AT5G05200"	"AT5G05200"	chr5	-	1546777	1546901	1546462	1546605	1547028	1547164
161	"AT5G23020"	"MAM3"	chr5	+	7721287	7721362	7721087	7721121	7721511	7721839
162	"AT3G57550"	"GK-2"	chr3	+	21307231	21307271	21306722	21307018	21307349	21307463
163	"AT5G49970"	"PPOX1"	chr5	+	20331771	20331822	20331238	20331327	20331913	20332004
164	"AT5G49970"	"PPOX1"	chr5	+	20331913	20332004	20331238	20331327	20332200	20332305
165	"AT4G19830"	"FKBP17-1"	chr4	-	10773407	10773530	10773052	10773169	10773612	10774023
166	"AT5G40760"	"ACG12"	chr5	+	16312775	16312812	16312616	16312675	16312942	16313014
167	"AT2G25660"	"emb2410"	chr2	-	10920565	10920598	10920183	10920459	10920777	10920900
169	"AT1G05710"	"AT1G05710"	chr1	+	1716558	1716624	1716418	1716484	1716690	1716735
170	"AT5G11800"	"KEA6"	chr5	-	3804586	3804682	3804277	3804466	3804877	3804931
171	"AT5G11800"	"KEA6"	chr5	-	3805205	3805294	3805023	3805120	3805410	3805488
172	"AT1G73177"	"BNS"	chr1	-	27517140	27517194	27516571	27516782	27517276	27517388
173	"AT1G75560"	"AT1G75560"	chr1	-	28372562	28372748	28372027	28372120	28373191	28373241
174	"AT1G75560"	"AT1G75560"	chr1	-	28372562	28373050	28372027	28372120	28373191	28373241
175	"AT5G51100"	"FSD2"	chr5	-	20773624	20773648	20773295	20773557	20773873	20773992
176	"AT5G51100"	"FSD2"	chr5	-	20773751	20773778	20773624	20773648	20773873	20773992
177	"AT4G27340"	"AT4G27340"	chr4	-	13688449	13688520	13688015	13688158	13688814	13688981
178	"AT3G04450"	"AT3G04450"	chr3	+	1185615	1185676	1185427	1185473	1185772	1185842
179	"AT4G16860"	"RPP4"	chr4	-	9490994	9492072	9490478	9490811	9495230	9495816
180	"AT5G65400"	"AT5G65400"	chr5	+	26132080	26132122	26131884	26131983	26132351	26132496
181	"AT5G65400"	"AT5G65400"	chr5	+	26132740	26132842	26132351	26132496	26132970	26133259
183	"AT1G04080"	"PRP39"	chr1	+	1054464	1054528	1054284	1054385	1054662	1054806
185	"AT4G23300"	"CRK22"	chr4	+	12182929	12183061	12181931	12182854	12183171	12183293
186	"AT4G13020"	"MHK"	chr4	+	7604046	7604125	7603650	7603954	7604203	7604272
187	"AT4G13020"	"MHK"	chr4	+	7606381	7606427	7606261	7606296	7606522	7606601
188	"AT5G17450"	"HIPP21"	chr5	+	5755805	5755881	5755321	5755463	5756447	5756888
189	"AT5G17450"	"HIPP21"	chr5	+	5755809	5755881	5755347	5755463	5756447	5756878
190	"AT2G20280"	"AT2G20280"	chr2	-	8741951	8742036	8741707	8741848	8742178	8742349
191	"AT4G11010"	"NDPK3"	chr4	-	6733428	6733479	6733170	6733338	6733559	6733597
192	"AT1G13770"	"RUS3"	chr1	+	4723820	4723864	4723610	4723749	4723965	4724153
193	"AT3G14150"	"GLO3"	chr3	-	4691309	4691379	4691117	4691218	4691487	4691550
194	"AT3G14150"	"GLO3"	chr3	-	4691623	4691681	4691487	4691550	4691791	4691916
195	"AT3G14150"	"GLO3"	chr3	-	4692200	4692247	4692025	4692103	4692332	4692457
197	"AT3G26080"	"PAP5"	chr3	+	9529586	9529682	9529385	9529499	9529993	9530068
198	"AT5G08720"	"AT5G08720"	chr5	-	2843066	2843133	2842563	2842791	2843282	2843383
199	"AT5G40710"	"AT5G40710"	chr5	+	16296160	16296218	16295844	16295967	16296401	16296475
200	"AT4G09720"	"RABG3A"	chr4	+	6133807	6133827	6133572	6133719	6133993	6134006
203	"AT1G32550"	"FdC1"	chr1	-	11773466	11773530	11773118	11773207	11773883	11774187
206	"AT2G38740"	"SGPP"	chr2	-	16195475	16195590	16195178	16195330	16195960	16196113
209	"AT5G65070"	"MAF4"	chr5	+	25994432	25994490	25992259	25992494	25995046	25995108
211	"AT5G27350"	"SFP1"	chr5	+	9653542	9653657	9653381	9653441	9654036	9654426
213	"AT2G16990"	"AT2G16990"	chr2	+	7386202	7386278	7385880	7386116	7386376	7386463
214	"AT2G16990"	"AT2G16990"	chr2	+	7387533	7387604	7387364	7387443	7387690	7387854
218	"AT5G11470"	"AT5G11470"	chr5	-	3666678	3667062	3666026	3666195	3667845	3667923
219	"AT1G19690"	"AT1G19690"	chr1	-	6808497	6808632	6808277	6808415	6808701	6808741
220	"AT5G45510"	"AT5G45510"	chr5	+	18445186	18448755	18444656	18444846	18448937	18449446
221	"AT5G45510"	"AT5G45510"	chr5	+	18445186	18448755	18444656	18444846	18449020	18449446
222	"AT3G44620"	"AT3G44620"	chr3	+	16194914	16194982	16194619	16194755	16195051	16195138
223	"AT3G29644"	"AT3G29644"	chr3	-	11500666	11500727	11499624	11499687	11501158	11501366
224	"AT2G20060"	"AT2G20060"	chr2	+	8659353	8659459	8659042	8659129	8659531	8659587
225	"AT3G22430"	"AT3G22430"	chr3	+	7956136	7956444	7953259	7954323	7957249	7957884
226	"AT4G00026"	"TIM21"	chr4	-	12923	12959	12790	12809	13171	13359
227	"AT3G54440"	"AT3G54440"	chr3	-	20151820	20151956	20150502	20150558	20152174	20152283
228	"AT3G21810"	"AT3G21810"	chr3	+	7686173	7686317	7684732	7684984	7686440	7686474
229	"AT3G27110"	"AT3G27110"	chr3	+	9999051	9999148	9998745	9998925	9999323	9999433
230	"AT5G15230"	"GASA4"	chr5	+	4945282	4945321	4944899	4945082	4945439	4945473
231	"AT3G55880"	"SUE4"	chr3	+	20738259	20738445	20737315	20737584	20738625	20738913
232	"AT5G64500"	"AT5G64500"	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052
233	"AT5G64500"	"AT5G64500"	chr5	+	25783204	25783283	25782923	25783052	25783376	25783654
234	"AT1G72090"	"AT1G72090"	chr1	+	27124852	27124972	27124390	27124640	27125073	27125149
235	"AT3G12977"	"AT3G12977"	chr3	+	4144688	4144963	4143725	4144024	4145488	4145967
237	"AT4G27870"	"MEBL"	chr4	+	13880821	13880974	13880450	13880594	13881166	13881499
240	"AT3G47060"	"FTSH7"	chr3	+	17336200	17336324	17335791	17336112	17336485	17336966
242	"AT4G17300"	"SYNO"	chr4	+	9683888	9683975	9683709	9683793	9684240	9684411
243	"AT5G06360"	"AT5G06360"	chr5	+	1945735	1945793	1945576	1945645	1945993	1946229
244	"AT1G68540"	"TKPR2"	chr1	+	25720700	25721053	25720257	25720622	25721140	25721410
247	"AT3G43740"	"AT3G43740"	chr3	+	15644749	15644893	15644587	15644659	15645035	15645107
248	"AT1G70730"	"PGM2"	chr1	-	26672343	26672425	26672192	26672248	26672645	26672711
249	"AT1G33810"	"AT1G33810"	chr1	+	12266290	12266405	12265032	12265311	12266581	12266847
250	"AT5G15680"	"AT5G15680"	chr5	-	5110297	5110416	5109941	5109987	5110697	5110833
251	"AT2G42240"	"AT2G42240"	chr2	+	17597956	17598029	17597654	17597711	17598259	17598308
252	"AT5G48545"	"HINT3"	chr5	+	19677544	19677600	19676967	19677034	19677693	19677747
253	"AT4G36140"	"AT4G36140"	chr4	-	17102643	17103597	17101234	17102357	17103690	17103825
254	"AT5G45600"	"TAF14B"	chr5	+	18488291	18488374	18487901	18488163	18488750	18488972
255	"AT5G45600"	"TAF14B"	chr5	+	18488294	18488374	18487949	18488163	18488750	18488972
256	"AT5G22120"	"AT5G22120"	chr5	-	7336223	7336306	7336074	7336137	7336435	7336814
258	"AT4G15110"	"CYP97B3"	chr4	-	8631062	8631149	8630887	8630976	8631233	8631293
259	"AT4G24620"	"PGI1"	chr4	-	12709518	12709675	12709348	12709427	12709761	12709900
261	"AT2G23590"	"MES8"	chr2	-	10034991	10035102	10034606	10034888	10035559	10036000
262	"AT3G27460"	"AT3G27460"	chr3	-	10159737	10159751	10159292	10159639	10159860	10160014
263	"AT1G79790"	"AT1G79790"	chr1	-	30017517	30017632	30017371	30017442	30017829	30017905
264	"AT1G79790"	"AT1G79790"	chr1	-	30017712	30017764	30017371	30017632	30017829	30017905
265	"AT1G79790"	"AT1G79790"	chr1	-	30017829	30017905	30017371	30017442	30017971	30018231
266	"AT3G57880"	"AT3G57880"	chr3	-	21433636	21433689	21430982	21433556	21434267	21434600
268	"AT5G55470"	"NHX4"	chr5	-	22471683	22471730	22471407	22471602	22471828	22471888
269	"AT5G23580"	"CPK12"	chr5	-	7951289	7951442	7950933	7951217	7951527	7951671
271	"AT4G23260"	"CRK18"	chr4	-	12167916	12168070	12167353	12167839	12168161	12168399
272	"AT5G08370"	"AGAL2"	chr5	-	2692888	2692923	2692707	2692811	2693019	2693076
276	"AT2G34750"	"AT2G34750"	chr2	-	14661757	14661864	14661570	14661654	14661975	14662044
277	"AT2G34750"	"AT2G34750"	chr2	-	14661975	14662044	14661570	14661654	14662152	14662278
279	"AT2G32390"	"GLR3.5"	chr2	-	13749550	13749582	13749020	13749430	13749691	13749770
282	"AT4G17140"	"AT4G17140"	chr4	-	9625060	9625350	9624895	9624980	9625477	9625581
284	"AT5G48870"	"LSM5"	chr5	+	19813556	19813680	19813345	19813440	19814106	19814179
286	"AT3G24503"	"ALDH2C4"	chr3	-	8922246	8922389	8921341	8921728	8922929	8923073
287	"AT2G32010"	"CVL1"	chr2	+	13628778	13628888	13628602	13628700	13628975	13629121
288	"AT5G06180"	"AT5G06180"	chr5	+	1874840	1874934	1874708	1874772	1875008	1875117
290	"AT5G44740"	"POLH"	chr5	-	18049726	18049850	18049419	18049533	18050050	18050170
291	"AT2G45640"	"SAP18"	chr2	-	18801065	18801098	18800842	18800953	18801212	18801383
292	"AT3G50240"	"KICP-02"	chr3	-	18627351	18627539	18627150	18627275	18627646	18627894
294	"AT3G43790"	"ZIFL2"	chr3	+	15655920	15656023	15655787	15655848	15656115	15656218
295	"AT2G24255"	"AT2G24255"	chr2	-	10315997	10317094	10315514	10315787	10317212	10317353
296	"AT4G19960"	"POT9"	chr4	+	10814050	10814276	10813547	10813956	10814354	10814600
297	"AT5G14640"	"ASK5"	chr5	-	4720110	4720161	4719872	4719968	4720274	4720415
298	"AT5G45190"	"CYCT1-5"	chr5	-	18279996	18280078	18279521	18279656	18280506	18280765
300	"AT3G48120"	"AT3G48120"	chr3	+	17773075	17773127	17772056	17772700	17773842	17773929
301	"AT2G24010"	"scpl23"	chr2	+	10215411	10215456	10214713	10214870	10215893	10216001
302	"AT2G21410"	"VHA-A2"	chr2	+	9166053	9166207	9165547	9165696	9166656	9166863
303	"AT2G21410"	"VHA-A2"	chr2	+	9166403	9166564	9166053	9166207	9166656	9166863
305	"AT2G16980"	"AT2G16980"	chr2	+	7379002	7379078	7378678	7378923	7379166	7379253
306	"AT5G11480"	"AT5G11480"	chr5	-	3670033	3670103	3669691	3669854	3670966	3671574
308	"AT1G12930"	"AT1G12930"	chr1	-	4399913	4400006	4399547	4399735	4400175	4400363
309	"AT2G36850"	"CALS10"	chr2	-	15457689	15457742	15457422	15457599	15457909	15458022
310	"AT2G36850"	"CALS10"	chr2	-	15464328	15464389	15463981	15464063	15464736	15464789
311	"AT1G10290"	"DRP2A"	chr1	+	3372263	3372381	3372031	3372093	3372527	3372864
312	"AT2G26310"	"FAP2"	chr2	+	11202607	11202683	11202245	11202480	11202768	11202871
315	"AT3G06670"	"AT3G06670"	chr3	-	2109598	2109667	2109437	2109515	2109946	2110014
317	"AT3G26085"	"AT3G26085"	chr3	+	9531001	9531042	9530768	9530911	9531129	9531384
318	"AT1G10130"	"ECA3"	chr1	+	3313227	3313273	3312920	3312995	3313603	3313663
319	"AT1G10130"	"ECA3"	chr1	+	3314743	3314797	3314346	3314448	3315073	3315175
320	"AT1G10130"	"ECA3"	chr1	+	3320782	3320868	3320566	3320621	3320984	3321133
321	"AT3G60350"	"ARABIDILLO-2"	chr3	-	22308911	22308992	22308465	22308597	22309084	22310732
322	"AT2G40270"	"AT2G40270"	chr2	-	16824067	16824137	16823311	16823715	16824245	16824461
324	"AT1G69740"	"HEMB1"	chr1	+	26233259	26233328	26233105	26233179	26233410	26233494
326	"AT3G15410"	"AT3G15410"	chr3	+	5205534	5205595	5205330	5205421	5205699	5205767
327	"AT2G44090"	"AT2G44090"	chr2	-	18240325	18241115	18239564	18239997	18241238	18241316
328	"AT3G15750"	"AT3G15750"	chr3	+	5335494	5335589	5335225	5335285	5335664	5335786
329	"AT1G12350"	"PPCS1"	chr1	+	4199444	4199530	4199299	4199344	4199632	4199685
330	"AT1G78580"	"TPS1"	chr1	-	29555104	29555193	29554744	29554793	29555350	29555501
331	"AT5G09410"	"CMTA1"	chr5	+	2922613	2922702	2922358	2922474	2923043	2923086
335	"AT5G05010"	"AT5G05010"	chr5	+	1479408	1479471	1479139	1479293	1479565	1479662
336	"AT4G16720"	"RPL15A"	chr4	-	9400487	9400685	9399959	9400401	9400998	9401165
337	"AT4G04870"	"CLS"	chr4	-	2462512	2462598	2462298	2462373	2462999	2463051
338	"AT3G04920"	"RPS24A"	chr3	+	1361359	1361401	1360881	1361060	1361494	1361665
339	"AT4G30060"	"AT4G30060"	chr4	-	14689978	14690041	14689775	14689898	14690124	14690205
342	"AT1G11450"	"AT1G11450"	chr1	+	3853757	3853820	3853466	3853519	3853994	3854111
343	"AT5G53470"	"ACBP1"	chr5	+	21711565	21711654	21711340	21711443	21711857	21711949
344	"AT5G08185"	"MIR162A"	chr5	-	2634973	2635041	2634771	2634872	2635133	2635215
345	"AT5G08185"	"MIR162A"	chr5	-	2634973	2635046	2634771	2634872	2635133	2635226
346	"AT5G08185"	"MIR162A"	chr5	-	2634973	2635046	2634771	2634872	2635321	2635436
348	"AT5G08185"	"MIR162A"	chr5	-	2635133	2635215	2634771	2634872	2635321	2635438
349	"AT5G08185"	"MIR162A"	chr5	-	2635133	2635226	2634771	2634872	2635321	2635436
352	"AT1G01060"	"LHY"	chr1	-	37372	37398	37022	37203	37568	37757
353	"AT1G73490"	"AT1G73490"	chr1	-	27634521	27634598	27634184	27634289	27634693	27634742
354	"AT1G73490"	"AT1G73490"	chr1	-	27634521	27634598	27634184	27634292	27634693	27634742
355	"AT4G33540"	"AT4G33540"	chr4	+	16132279	16132371	16131946	16132054	16132524	16132599
357	"AT1G62800"	"ASP4"	chr1	-	23254926	23255021	23254691	23254812	23255114	23255236
358	"AT1G62800"	"ASP4"	chr1	-	23255114	23255236	23254691	23254812	23255486	23255624
359	"AT1G62800"	"ASP4"	chr1	-	23256617	23256695	23256435	23256535	23256952	23257014
360	"AT1G62800"	"ASP4"	chr1	-	23256617	23256701	23256435	23256535	23256952	23257014
361	"AT5G54570"	"BGLU41"	chr5	-	22168339	22168371	22168145	22168248	22168459	22168683
363	"AT1G63420"	"AT1G63420"	chr1	+	23517933	23518144	23517794	23517859	23518408	23518910
364	"AT5G19690"	"STT3A"	chr5	+	6657575	6657655	6657360	6657458	6657726	6657814
366	"AT1G75340"	"CG1"	chr1	-	28269962	28270055	28269770	28269856	28270155	28270233
369	"AT1G75340"	"CG1"	chr1	-	28270155	28270233	28269962	28270055	28270328	28270546
371	"AT1G59560"	"ZCF61"	chr1	+	21881906	21881950	21881598	21881814	21882033	21882158
372	"AT3G47700"	"MAG2"	chr3	-	17585747	17585848	17583600	17585662	17586034	17586136
373	"AT5G36160"	"TAT"	chr5	-	14233634	14233790	14233460	14233554	14233863	14233923
374	"AT3G02875"	"ILR1"	chr3	+	632446	632572	631912	632352	632820	633135
375	"AT3G20420"	"RTL2"	chr3	-	7120139	7120295	7119682	7120047	7120418	7120919
376	"AT1G51500"	"ABCG12"	chr1	-	19100428	19100508	19099880	19100345	19100743	19101080
