Gene ID	LSV ID	LSV Type	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	A E(PSI)	B E(PSI)	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
AT1G72416	AT1G72416:s:27259520-27259576	s|1e1.1o2|1e1.2o2	-0.010599271649471725;0.010599315633268519	0.015338302145476034;0.015338305439354442	9.599785715685982e-06;9.599653895964178e-06	0.582;0.418	0.555;0.445	False	True	False	2	2	27259433-27259520;27259430-27259520	
AT1G64860	AT1G64860:s:24100444-24100556	s|1e1.1o2|1e1.2o2	0.9300811303903898;-0.9345774357464411	1.0;1.0	8.005564289436523e-06;8.006304861418734e-06	0.013;0.987	0.932;0.068	False	True	False	2	2	24100556-24100638;24100556-24100643	
AT1G61660	AT1G61660:s:22755320-22755728	s|1e1.1o2|1e1.2o2	-0.00028565137809895616;0.00028565447863329265	2.8474780625174247e-07;2.846588451933849e-07	0.000178575738253417;0.00017857317105429704	0.991;0.009	0.990;0.010	False	True	False	2	2	22755223-22755320;22755214-22755320	
AT1G05580	AT1G05580:s:1668536-1668904	s|1e1.1o1|2e1.1o1	-0.6880708790744792;0.6880709042030494	0.9999997870243958;0.9999997816880641	4.929888719473752e-10;1.9404761949936928e-09	0.817;0.183	0.146;0.854	True	False	False	2	2	1668455-1668540;1668455-1668536	
AT1G37140	AT1G37140:s:14171754-14172041	s|1e1.1o1|1e2.1o1	0.9676761487248816;-0.9697110892076205	1.0;1.0	6.305176955793295e-06;6.305592903599333e-06	0.021;0.979	0.976;0.024	False	False	True	2	3	14171668-14171754;14171487-14171754	
AT1G07890	AT1G07890:s:2437330-2437555	s|1e1.2o4|1e1.3o4|1e2.1o1	-0.8807041680196543;0.0006618022060915523;0.853012078052431	1.0;6.981296750394166e-21;1.0	6.972368557067732e-06;0.24483471864479742;6.400320884447641e-06	0.977;0.010;0.013	0.117;0.029;0.854	False	True	True	3	3	2437555-2437678;2437555-2437681;2437555-2437993	
AT1G43170	AT1G43170:t:16267466-16267770	t|1e1.1o1|2e2.1o2	-0.9662537129082096;0.9631183610877707	1.0;1.0	6.586143334819106e-06;6.582301779219449e-06	0.960;0.040	0.031;0.969	False	True	True	2	3	16267373-16267466;16266790-16267477	
AT1G63770	AT1G63770:t:23663789-23663863	t|1e1.1o1|1e2.1o1	0.009205496815694651;-0.009205494631029643	7.511469659686996e-21;5.702275641857301e-18	0.00037555331587001877;0.00037557598579296414	0.058;0.942	0.080;0.920	False	False	True	2	3	23663863-23664614;23663863-23664166	
AT1G48560	AT1G48560:t:17953673-17955336	t|1e1.1o1|1e2.1o1	0.6478306148807706;-0.647830539093492	0.9999999946395498;0.9999999939985229	8.59785956796212e-13;2.2851720515859597e-12	0.310;0.690	0.942;0.058	False	False	True	2	3	17953430-17953673;17953609-17953673	
AT1G68580	AT1G68580:s:25752735-25753118	s|1e1.1o1|1e2.1o1	0.03941478624727924;-0.03941475488333434	0.030689457165252666;0.030689445321195986	7.363711776398052e-06;7.363893902656571e-06	0.193;0.807	0.279;0.721	False	False	True	2	3	25753118-25753368;25753118-25753544	
AT1G44835	AT1G44835:s:16941902-16942032	s|1e1.1o1|2e1.1o1	0.7136468824480768;-0.7136551826401735	0.9999990090429144;0.9999990162323887	1.9361780617416114e-08;1.805721394632087e-08	0.125;0.875	0.822;0.178	True	False	False	2	2	16942029-16942106;16942032-16942106	
AT1G71310	AT1G71310:s:26879290-26879384	s|1e1.1o1|i	-0.9455515866116291;0.9398389855131253	1.0;1.0	8.800220512306112e-06;8.791602377056403e-06	0.946;0.054	0.031;0.969	False	False	False	1	2	26878860-26879290	26878860-26879290
AT1G14990	AT1G14990:t:5167031-5167404	t|1e1.1o1|1e2.1o1	0.8700393070666895;-0.8728026572643997	0.9999999999999889;0.999999999999996	2.17782736721503e-11;2.1031509866986653e-11	0.081;0.919	0.929;0.071	False	False	True	2	3	5167404-5167586;5167404-5167495	
AT1G15120	AT1G15120:s:5203683-5203772	s|1e1.1o2|1e1.2o2	-0.838544836362412;0.8376436268594787	0.9999999999999184;0.9999999999999064	6.218026094018114e-12;7.604124245077674e-12	0.906;0.094	0.089;0.911	False	True	False	2	2	5203772-5203828;5203772-5203865	
AT1G72110	AT1G72110:s:27129756-27129965	s|1e1.1o2|2e1.2o2	-0.9049590672293129;0.9010070740947813	1.0;1.0	4.405560396825159e-06;1.0222535535876764e-06	0.963;0.037	0.085;0.915	True	True	False	2	2	27129708-27129830;27129661-27129756	
AT1G63010	AT1G63010:s:23349089-23349396	s|1e1.1o2|1e1.2o2	0.9611557204533324;-0.9647175136995316	1.0;1.0	6.677175584373068e-06;6.679204538673211e-06	0.041;0.959	0.995;0.005	False	True	False	2	2	23349004-23349089;23348998-23349089	
AT1G10650	AT1G10650:s:3525210-3525403	s|1e1.1o1|i	0.5974375155773234;-0.5974375353343191	1.0;1.0	6.603189650171155e-12;6.66622312905929e-12	0.013;0.987	0.607;0.393	False	False	False	1	2	3525119-3525210	3525119-3525210
AT1G05320	AT1G05320:s:1553603-1553759	s|1e1.1o1|1e2.1o2|1e2.2o2	-0.08632739609472392;0.055563791954471906;0.019048044529693057	0.12502805277328244;0.056284966720565204;0.00011512720699562524	4.087251878948095e-06;5.8550376659805e-06;3.712797162502314e-05	0.640;0.339;0.021	0.489;0.450;0.062	False	True	True	3	3	1553759-1553894;1553759-1554813;1553759-1554822	
AT1G28520	AT1G28520:s:10030917-10031500	s|1e1.1o1|i	-0.6392360084616922;0.6392360721347228	0.9999999969710678;0.9999999971601081	1.6841750216656237e-11;1.6914411445001692e-11	0.663;0.337	0.037;0.963	False	False	False	1	2	10031500-10031619	10031500-10031619
AT1G62800	AT1G62800:s:23256953-23257014	s|1e1.1o2|1e1.2o2	-0.8424599561479023;0.8412653462787283	0.9999999999984943;0.9999999999982037	7.180833705433542e-11;1.4093363523072632e-10	0.921;0.079	0.100;0.900	False	True	False	2	2	23256701-23256953;23256695-23256953	
AT1G70830	AT1G70830:s:26710564-26711053	s|1e1.4o4|2e1.3o4|3e1.1o4|4e1.2o4	-0.02117387956152725;-0.011368889886421726;-0.0405041460238352;0.10162685293969625	0.0007849819153620172;0.0005444828654366195;0.0031910845112853585;0.06653624836137205	1.5934523294403036e-05;1.926275340147221e-05;8.918713797267941e-06;2.3242980665406335e-06	0.266;0.318;0.255;0.160	0.227;0.296;0.186;0.291	True	True	False	4	2	26710244-26710818;26710283-26710773;26710480-26710568;26710474-26710564	
AT1G61240	AT1G61240:t:22582178-22582433	t|1e1.1o1|1e2.1o2|1e2.2o2	0.11695624256021153;-0.16527950969372696;0.029796671334102243	0.1398252447697344;0.3674170194305252;0.002997020410434245	2.062633173176482e-06;1.5724412707474045e-06;1.115171813665522e-05	0.105;0.777;0.119	0.256;0.571;0.172	True	False	True	3	3	22581721-22582297;22582114-22582297;22582128-22582297	
AT1G09195	AT1G09195:s:2968380-2968403	s|1e1.1o2|1e1.2o2	-0.8012961436444294;0.8008893181071556	0.9999999990620368;0.9999999991803944	1.4294242456358575e-09;8.151354051092255e-10	0.865;0.135	0.085;0.915	False	True	False	2	2	2968254-2968380;2968199-2968380	
AT1G15790	AT1G15790:s:5439995-5440087	s|1e1.1o2|1e1.2o2	0.027452570110146755;-0.027452550074277	0.0049906170810207155;0.00499062187193276	1.089173749564687e-05;1.0892191472655632e-05	0.811;0.189	0.863;0.137	False	True	False	2	2	5439852-5439995;5439837-5439995	
AT1G69080	AT1G69080:s:25972778-25972893	s|1e1.1o1|2e1.1o1	-0.5016111901188434;0.5016112965413135	0.994848600627438;0.9948487480002364	2.251512339901396e-07;2.2502453669908046e-07	0.798;0.202	0.298;0.702	True	False	False	2	2	25972425-25972820;25972425-25972778	
AT1G75720	AT1G75720:s:28435192-28435489	s|1e1.2o2|2e1.1o2	-0.7745102464169084;0.7745102395414106	1.0;1.0	6.546281820174471e-06;6.1794041642526665e-06	0.894;0.106	0.137;0.863	True	True	False	2	2	28435103-28435196;28435114-28435192	
AT1G47210	AT1G47210:s:17301459-17301695	s|1e1.1o2|2e1.2o2	0.949641253032652;-0.9552076319393261	1.0;1.0	7.207854600220845e-06;7.208562378568928e-06	0.027;0.973	0.955;0.045	True	True	False	2	2	17301691-17301776;17301695-17301780	
AT1G51590	AT1G51590:s:19131592-19131639	s|1e1.1o2|1e1.2o2	0.671366304422462;-0.6713663818580821	0.9999988980344613;0.9999988983600825	6.497385318094616e-09;6.398090723891414e-09	0.206;0.794	0.861;0.139	False	True	False	2	2	19131511-19131592;19131507-19131592	
AT1G03780	AT1G03780:s:949883-950125	s|1e1.1o1|1e2.1o1	0.1003962825172395;-0.10039628628343625	0.15975689678252974;0.15975690828179398	3.4782138810928592e-06;3.478385740995904e-06	0.436;0.564	0.603;0.397	False	False	True	2	3	949796-949883;949621-949883	
AT1G42480	AT1G42480:t:15937621-15937693	t|1e1.1o1|1e2.1o1	0.8458030033549442;-0.8458498254293121	1.0;1.0	5.943916743245126e-06;2.394720491349922e-06	0.151;0.849	0.995;0.005	False	False	True	2	3	15937249-15937621;15937499-15937621	
AT1G66200	AT1G66200:s:24656855-24656903	s|1e1.1o2|1e1.2o2	-0.005808407609517422;0.00580845805453081	0.0029524095553378144;0.0029524086011845307	1.3777425298622248e-05;1.3777288255134579e-05	0.250;0.750	0.237;0.763	False	True	False	2	2	24656795-24656855;24656768-24656855	
AT1G80380	AT1G80380:s:30217863-30218248	s|1e1.1o1|2e2.1o1	-0.028701436245272074;0.028701482680393613	0.00010201039430905605;0.00010201121982194046	1.703165018829278e-05;1.7030628755684146e-05	0.111;0.889	0.064;0.936	True	False	True	2	3	30218233-30218928;30218248-30218338	
AT1G59580	AT1G59580:s:21884043-21884207	s|1e1.1o2|1e1.2o2	0.03667224406521449;-0.036672233323198855	0.0012667536533587705;0.0012667523824293338	1.0697510722780523e-05;1.0698138191433948e-05	0.687;0.313	0.747;0.253	False	True	False	2	2	21884207-21884510;21884207-21884517	
AT1G16710	AT1G16710:s:5715376-5715651	s|1e1.1o2|2e1.2o2	0.8514791964668101;-0.8527901349435052	0.9999999999999026;0.9999999999999932	3.601613659183784e-12;2.7122748491592574e-12	0.040;0.960	0.869;0.131	True	True	False	2	2	5715637-5715724;5715651-5715747	
AT1G69587	AT1G69587:s:26179205-26179351	s|1e1.1o1|1e2.1o1	0.12052167346217856;-0.12052170883390745	0.21240353465645834;0.21240362997427686	2.7001706879000234e-06;2.700298293190073e-06	0.249;0.751	0.427;0.573	False	False	True	2	3	26177250-26179205;26176449-26179205	
AT1G64770	AT1G64770:t:24059218-24059561	t|1e1.1o2|1e2.1o1	0.9164652346168586;-0.9226537842658987	1.0;1.0	1.3638523839497665e-07;1.4589526586838986e-08	0.082;0.918	0.993;0.007	False	False	True	2	3	24058472-24059218;24058655-24059218	
AT1G79650	AT1G79650:s:29974116-29974186	s|1e1.1o1|1e2.1o1	4.107994214338696e-06;-4.1079455033528355e-06	6.910305036425616e-21;3.1682384884688816e-14	0.01523387729471315;0.015349284435498212	0.004;0.996	0.004;0.996	False	False	True	2	3	29974045-29974116;29973888-29974116	
AT1G48360	AT1G48360:s:17871319-17871459	s|1e1.1o2|1e1.2o2	0.6864654274032016;-0.6864657833853636	0.9999992489237928;0.9999992547627742	6.3372647556413965e-09;5.9092988280440295e-09	0.114;0.886	0.784;0.216	False	True	False	2	2	17871459-17871533;17871459-17871678	
AT1G29830	AT1G29830:s:10444761-10444882	s|1e1.1o1|i	-0.48253255003134843;0.4825326443861314	0.9999956682566709;0.9999956778851911	4.810263298793416e-12;2.842861156441086e-12	0.559;0.441	0.080;0.920	False	False	False	1	2	10444882-10444960	10444882-10444960
AT1G60640	AT1G60640:s:22338618-22338683	s|1e1.1o1|1e2.1o1	0.6528804117530426;-0.652880375180196	0.999999886178617;0.9999998868100397	1.2565142059003638e-09;9.53068401976509e-10	0.314;0.686	0.951;0.049	False	False	True	2	3	22338526-22338618;22338233-22338618	
AT1G27760	AT1G27760:s:9669097-9669265	s|1e1.1o2|1e1.2o2	-0.04999991411290147;0.0499999316578975	0.00037992497717392957;0.00037992624064024785	1.0808325149103126e-05;1.0807606875157271e-05	0.101;0.899	0.031;0.969	False	True	False	2	2	9669265-9669342;9669265-9669354	
AT1G25540	AT1G25540:t:8973551-8973614	t|1e1.1o1|1e2.1o1	0.03614217442285957;-0.0361421610875245	0.0002102421014836309;0.0002102424626323635	1.7971976855939327e-05;1.7972994444170887e-05	0.079;0.921	0.133;0.867	False	False	True	2	3	8973614-8974343;8973614-8973807	
AT1G23080	AT1G23080:s:8181083-8181240	s|1e1.1o1|i	0.5727648012079918;-0.5727648258086904	0.9999999811054686;0.9999999821149277	6.263674970015188e-13;1.0136336214827679e-13	0.057;0.943	0.615;0.385	False	False	False	1	2	8181002-8181083	8181002-8181083
AT1G79650	AT1G79650:s:29973361-29973426	s|1e1.1o1|1e2.2o2	0.9646741016280019;-0.9674884203259859	1.0;1.0	6.454522555662725e-06;6.455044645137242e-06	0.014;0.986	0.968;0.032	False	False	True	2	3	29973078-29973361;29972919-29973361	
AT1G01060	AT1G01060:s:35567-35647	s|1e1.1o2|1e1.2o2	-0.014129993410870985;0.014130025168453696	3.9890473029848087e-07;3.990597407266502e-07	5.0550516364711306e-05;5.054810402657303e-05	0.842;0.158	0.820;0.180	False	True	False	2	2	35474-35567;35471-35567	
AT1G04950	AT1G04950:s:1407314-1407501	s|1e1.1o1|2e1.1o1	-0.08422001967985931;0.08422003247780163	0.056281728447505196;0.056281764781558774	3.363965945912817e-06;3.36377089516773e-06	0.609;0.391	0.488;0.512	True	False	False	2	2	1407205-1407429;1407205-1407314	
AT1G51690	AT1G51690:s:19164063-19164232	s|1e1.1o2|1e1.2o2	-0.03432881295461956;0.03432883236332257	0.020089505466653515;0.020089495580377283	8.147264903946017e-06;8.146972700573407e-06	0.265;0.735	0.189;0.811	False	True	False	2	2	19164232-19164597;19164232-19164661	
AT1G70100	AT1G70100:s:26405598-26405654	s|1e1.1o2|1e1.2o2	-0.8976482891574993;0.8932725183505971	0.9999999999999996;0.9999999999999998	1.7506396332578333e-10;2.855785461276802e-10	0.911;0.089	0.040;0.960	False	True	False	2	2	26405654-26405731;26405654-26405735	
AT1G61810	AT1G61810:s:22830662-22830737	s|1e1.1o2|1e1.2o2	0.9585499406012525;-0.9627248859514729	1.0;1.0	6.711762458446596e-06;6.7122007367803604e-06	0.006;0.994	0.960;0.040	False	True	False	2	2	22830737-22830878;22830737-22830911	
AT1G28570	AT1G28570:s:10043851-10044150	s|1e1.1o1|1e2.1o1	-0.722497583131208;0.7224975561146951	0.9999999999999998;0.9999999999999997	3.793299008236772e-12;3.5347616962388925e-12	0.906;0.094	0.203;0.797	False	False	True	2	3	10043263-10043851;10042672-10043851	
AT1G66240	AT1G66240:s:24687146-24687332	s|1e1.1o1|1e2.1o1|2e3.1o1	0.0017728760165505615;0.8808364030553444;-0.9044127692782473	1.2406839589030484e-07;1.0;1.0	0.00022108400974377247;5.149894106964981e-06;7.5075847462136025e-06	0.005;0.005;0.989	0.020;0.884;0.096	True	False	True	3	4	24686853-24687229;24686590-24687229;24686853-24687146	
AT1G54270	AT1G54270:s:20260649-20260752	s|1e1.1o1|2e1.1o1	0.7342074132037318;-0.7342074614692224	1.0;1.0	6.779452591587631e-06;6.7794379917662795e-06	0.119;0.881	0.837;0.163	True	False	False	2	2	20260737-20260862;20260752-20260862	
AT1G24300	AT1G24300:s:8617617-8618327	s|1e1.1o2|1e1.2o2	-0.11010839282123469;0.11010838174648849	0.14500346361712496;0.14500348316455236	2.562488740753821e-06;2.5623460144709887e-06	0.503;0.497	0.346;0.654	False	True	False	2	2	8617452-8617617;8617437-8617617	
AT1G19396	AT1G19396:s:6709778-6709958	s|1e1.1o1|1e2.1o2|1e2.2o2	0.005665560391705793;-0.7776536942267565;0.7772034368731909	0.00015870662518377058;1.0;0.9999999999999992	2.719882373275473e-05;2.104996621454802e-09;1.3456423792713529e-11	0.129;0.784;0.087	0.139;0.015;0.845	False	True	True	3	3	6709958-6710115;6709958-6711414;6709958-6711420	
AT1G70850	AT1G70850:s:26715929-26716400	s|1e1.1o1|2e1.1o1	-0.9362513285954024;0.9299814808755951	1.0;1.0	8.320882281087627e-06;8.316317263331457e-06	0.954;0.046	0.052;0.948	True	False	False	2	2	26715706-26715933;26715706-26715929	
AT1G16810	AT1G16810:s:5755588-5755672	s|1e1.1o2|1e1.2o2	-0.427209872080243;0.4272099038175383	0.9841935284616145;0.984193540975689	1.9896892400339539e-07;1.9895760469786628e-07	0.690;0.310	0.257;0.743	False	True	False	2	2	5755672-5756140;5755672-5756143	
AT1G11840	AT1G11840:s:3995169-3995472	s|1e1.1o4|1e1.2o4|1e1.3o4|1e1.4o4|2e1.4o4	0.0034341773681588837;4.483197308402805e-06;0.08364706513045676;0.690943274312128;-0.7999126826279499	7.289850491863898e-21;6.908452607934378e-21;0.0006287963675931652;1.0;1.0	0.003940683024875591;0.5661026566691676;2.468713763048811e-06;7.204209917898298e-10;8.392600110429527e-06	0.017;0.007;0.032;0.028;0.915	0.034;0.007;0.122;0.699;0.138	True	True	False	5	2	3995470-3995905;3995470-3996013;3995470-3996016;3995470-3996041;3995472-3996041	
AT1G43620	AT1G43620:s:16430029-16430200	s|1e1.1o1|1e2.1o1	0.03884449657019705;-0.03884446425340054	0.007634553176981643;0.007634548799731765	8.381804555781386e-06;8.382227875247672e-06	0.615;0.385	0.685;0.315	False	False	True	2	3	16429754-16430029;16429558-16430029	
AT1G56230	AT1G56230:s:21047720-21048382	s|1e1.1o2|1e1.2o2	0.7506848083353236;-0.7506848201289216	1.0;1.0	6.684463076944702e-06;6.588025005638265e-06	0.135;0.865	0.867;0.133	False	True	False	2	2	21047639-21047720;21047609-21047720	
AT1G06640	AT1G06640:s:2033070-2033391	s|1e1.1o2|2e1.2o2	0.004014355093239602;-0.004014308306480637	0.005209398638145357;0.00520939626117481	1.2274121151345518e-05;1.2274183504579206e-05	0.213;0.788	0.219;0.781	True	True	False	2	2	2033385-2033516;2033391-2033521	
AT1G20693	AT1G20693:s:7178290-7178376	s|1e1.1o3|1e1.2o3|1e1.3o3	-0.08715359541735118;-0.004217616049298595;0.09088848071183417	0.06837244114175157;0.0005987437738490952;0.09130691469013036	3.2971970110873272e-06;1.959598075651492e-05;3.272932970560527e-06	0.357;0.263;0.379	0.227;0.254;0.518	False	True	False	3	2	7178376-7178470;7178376-7178473;7178376-7178476	
AT1G63940	AT1G63940:s:23729979-23730104	s|1e1.2o2|i	-0.02207098555546872;0.02207101131965545	5.07739213933841e-06;5.077446966435872e-06	3.503552100769802e-05;3.503302084054022e-05	0.214;0.786	0.184;0.816	False	False	False	1	2	23730104-23730195	23730104-23730195
AT1G45248	AT1G45248:t:17162963-17163276	t|1e1.1o1|1e2.1o1	-0.9695300011837376;0.9674253903588912	1.0;1.0	6.311799359726145e-06;6.182557475640279e-06	0.973;0.027	0.011;0.989	False	False	True	2	3	17163276-17163535;17163276-17163346	
AT1G59890	AT1G59890:s:22050494-22050682	s|1e1.1o1|2e1.1o1	0.8372776740827125;-0.8390600938454962	0.9999999987282693;0.9999999987991072	5.103461674432389e-09;5.034882066823343e-09	0.062;0.938	0.878;0.122	True	False	False	2	2	22050596-22050769;22050682-22050769	
AT1G57870	AT1G57870:s:21431362-21431446	s|1e1.1o1|i	-0.6955616711389873;0.6955616233890618	1.0;1.0	6.148329282362752e-07;6.019140548346735e-07	0.704;0.296	0.015;0.985	False	False	False	1	2	21431210-21431362	21431210-21431362
AT1G19080	AT1G19080:s:6584241-6584354	s|1e1.1o1|1e2.1o1	-0.8977734560302393;0.8962667626213985	1.0;1.0	4.7573787309573845e-07;4.22417162169314e-06	0.959;0.041	0.085;0.915	False	False	True	2	3	6584354-6584426;6584354-6585037	
AT1G20696	AT1G20696:s:7180674-7180760	s|1e1.1o2|2e1.2o2	-0.9163633410916694;0.9091840956291206	0.9999999999999278;0.9999999999998843	8.11103406661573e-11;1.4654224765002133e-10	0.947;0.053	0.061;0.939	True	True	False	2	2	7180754-7180983;7180760-7180990	
AT1G30200	AT1G30200:s:10625029-10626309	s|1e1.1o2|1e1.2o2	0.5547056511778659;-0.5547056880826284	0.999996429755082;0.9999964338941572	2.3185390788134325e-10;2.1235369018768324e-10	0.246;0.754	0.788;0.212	False	True	False	2	2	10626309-10626650;10626309-10626661	
AT1G49040	AT1G49040:s:18140568-18140639	s|1e1.1o1|1e2.1o1	-0.013426649349865151;0.013426686712469623	0.0005466481190551705;0.0005466476817093744	2.7478676523196022e-05;2.7477564742972582e-05	0.066;0.934	0.037;0.963	False	False	True	2	3	18140502-18140568;18140308-18140568	
AT1G20020	AT1G20020:s:6943228-6943486	s|1e1.1o2|2e1.2o2	-0.01203584089317198;0.012035887672715911	1.1307086522523062e-05;1.1306965457671464e-05	3.291711781250317e-05;3.2915967856358974e-05	0.876;0.124	0.855;0.145	True	True	False	2	2	6943483-6943582;6943486-6943585	
AT1G50260	AT1G50260:t:18619552-18619757	t|1e1.1o1|2e2.1o1	0.6708823627863573;-0.6708822682159483	0.9999999956714956;0.9999999950328703	5.562744248848663e-12;3.253575187045499e-11	0.165;0.835	0.819;0.181	False	True	True	2	3	18619757-18620071;18619653-18620331	
AT1G07940	AT1G07940:s:2465410-2465504	s|1e1.1o1|1e2.1o1	0.8594971002793615;-0.8595370711113435	1.0;1.0	9.40898142148816e-06;9.409064158028002e-06	0.100;0.900	0.940;0.060	False	False	True	2	3	2465076-2465410;2464814-2465410	
AT1G23690	AT1G23690:t:8377262-8377741	t|1e1.1o1|1e2.1o1	0.8945224068873987;-0.8974059279233244	1.0;1.0	9.572955221984203e-06;9.57607337570554e-06	0.070;0.930	0.943;0.057	False	False	True	2	3	8377741-8378066;8377741-8377836	
AT1G20680	AT1G20680:s:7169566-7169762	s|1e1.1o1|2e1.1o1	0.012391988986275514;-0.012391947865772811	0.00028524314365169115;0.00028524370319905516	2.236521057039087e-05;2.236591187465553e-05	0.770;0.230	0.793;0.207	True	False	False	2	2	7169747-7169846;7169762-7169846	
AT1G55310	AT1G55310:s:20631885-20632055	s|1e1.1o2|1e1.2o2	-0.5639608398345001;0.5639609176246522	0.9996811475756916;0.9996811568475086	5.464741203997647e-08;5.452775155359304e-08	0.778;0.222	0.225;0.775	False	True	False	2	2	20632055-20632148;20632055-20632151	
AT1G28100	AT1G28100:s:9802916-9802978	s|1e1.1o1|2e1.1o1	-0.0003105028511751456;0.0003105070966367826	3.0813862768679156e-09;2.5294023918305073e-09	0.000683651492594306;0.0006836418980838421	0.984;0.016	0.983;0.017	True	False	False	2	2	9802954-9803207;9802978-9803207	
AT1G79650	AT1G79650:s:29974392-29974430	s|1e1.1o2|1e1.2o2	-0.9387178724542964;0.9315759978363112	1.0;1.0	1.8899318532383802e-07;3.845846742250251e-09	0.984;0.016	0.066;0.934	False	True	False	2	2	29974327-29974392;29974309-29974392	
AT1G44770	AT1G44770:s:16908943-16909060	s|1e1.1o2|1e1.2o2	-0.8168316638852042;0.8165707450682793	0.9999999999997535;0.9999999999999466	3.3110181263396044e-12;8.467456701010084e-13	0.889;0.111	0.091;0.909	False	True	False	2	2	16908866-16908943;16908863-16908943	
AT1G23690	AT1G23690:s:8378301-8378465	s|1e1.1o2|1e1.2o2	0.8458060269615126;-0.8458447711093819	1.0;1.0	8.995589774046797e-06;9.184434974773836e-06	0.101;0.899	0.925;0.075	False	True	False	2	2	8378206-8378301;8378191-8378301	
AT1G63750	AT1G63750:s:23650848-23651611	s|1e1.2o2|2e1.1o2	-0.08120808793836573;0.0812080631571772	0.05871870963624366;0.058718679065357854	3.6380116064105295e-06;3.6378309766511158e-06	0.494;0.506	0.385;0.615	True	True	False	2	2	23651424-23652247;23651611-23652021	
AT1G29790	AT1G29790:s:10429976-10431176	s|1e1.1o2|1e1.2o2	-2.5681168795417575e-05;2.5681476815504096e-05	6.807371931868864e-16;6.91182104127097e-21	0.039636380036636054;0.04027674184050089	0.992;0.008	0.991;0.009	False	True	False	2	2	10431176-10431528;10431176-10431637	
AT1G27570	AT1G27570:s:9576260-9576354	s|1e1.1o1|2e1.1o1	0.8977692248905896;-0.9038056889819921	0.9999999999998949;0.9999999999999352	1.384493275082191e-10;5.0307757959444643e-11	0.067;0.933	0.942;0.058	True	False	False	2	2	9576321-9576707;9576354-9576707	
