ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
111	"AT1G61340"	"AT1G61340"	chr1	+	22629157	22629295	22628515	22628792	22629359	22629434	111	1,2,0	3,6,1	10,14,9	0,0,1	237	99	3.66928709639e-13	8.96354419261e-13	0.122,0.122,0.0	1.0,1.0,0.79	-0.849
113	"AT1G60070"	"AT1G60070"	chr1	-	22143355	22143463	22143166	22143265	22143544	22143720	113	0,1,1	3,3,3	0,2,2	2,6,0	207	99	0.122244962763	0.191778794793	0.0,0.137,0.137	0.0,0.137,1.0	-0.288
116	"AT1G23690"	"AT1G23690"	chr1	-	8377835	8377979	8377261	8377741	8378065	8378191	116	139,147,160	3,5,3	6,11,6	37,24,45	243	99	0	0.0	0.95,0.923,0.956	0.062,0.157,0.052	0.853
123	"AT1G49940"	"AT1G49940"	chr1	-	18488826	18488907	18488516	18488731	18488982	18489061	123	1,6,3	50,66,63	158,211,205	5,8,8	180	99	0	0.0	0.011,0.048,0.026	0.946,0.936,0.934	-0.91
126	"AT1G14990"	"AT1G14990"	chr1	-	5167494	5167524	5167030	5167404	5167585	5167702	126	19,33,34	1,1,3	1,1,5	18,20,17	129	99	0	0.0	0.936,0.962,0.897	0.041,0.037,0.184	0.844
127	"AT1G21350"	"AT1G21350"	chr1	-	7478441	7478522	7478314	7478368	7478616	7478682	127	0,1,1	28,33,26	49,59,73	0,0,0	180	99	0	0.0	0.0,0.016,0.021	1.0,1.0,1.0	-0.988
128	"AT1G78600"	"BBX22"	chr1	+	29568264	29568324	29567747	29568200	29568398	29568815	128	100,92,86	0,0,1	1,1,1	31,36,40	159	99	0	0.0	1.0,1.0,0.982	0.02,0.017,0.015	0.977
134	"AT1G55325"	"MED13"	chr1	+	20640283	20640343	20639715	20640042	20640587	20640822	134	1,4,9	5,1,1	4,1,2	3,4,8	159	99	0.0593933593527	0.100557073756	0.111,0.714,0.849	0.454,0.135,0.135	0.317
144	"AT1G49160"	"WNK7"	chr1	-	18181612	18181650	18181243	18181471	18181780	18181903	144	30,27,36	15,16,15	34,31,30	13,10,15	137	99	0.422745647636	0.578316045966	0.591,0.549,0.634	0.654,0.691,0.591	-0.054
146	"AT1G65090"	"AT1G65090"	chr1	-	24181535	24181623	24180829	24181194	24181954	24182022	146	246,259,225	14,19,18	255,244,252	14,20,16	187	99	0.829843056887	0.992329809284	0.903,0.878,0.869	0.906,0.866,0.893	-0.005
147	"AT1G16560"	"AT1G16560"	chr1	+	5668572	5668739	5668392	5668464	5668918	5669039	147	1,0,1	11,12,9	26,18,27	2,0,0	266	99	0	0.0	0.033,0.0,0.04	0.829,1.0,1.0	-0.919
153	"AT1G13060"	"PBE1"	chr1	+	4453043	4453115	4452854	4452984	4453278	4453385	153	3,2,1	12,5,5	3,1,4	0,1,0	171	99	5.57059241846e-07	1.13401345662e-06	0.126,0.188,0.104	1.0,0.367,1.0	-0.65
154	"AT1G23670"	"AT1G23670"	chr1	-	8374067	8374202	8373833	8373980	8375529	8375676	154	1,1,0	1,5,4	1,5,4	1,0,1	234	99	8.28407761611e-07	1.66656149689e-06	0.297,0.078,0.0	0.297,1.0,0.629	-0.517
155	"AT1G13450"	"GT-1"	chr1	-	4613754	4613889	4613285	4613516	4614197	4614236	155	17,15,21	7,6,9	14,19,6	10,7,16	234	99	0.0853515119321	0.139001033718	0.507,0.514,0.497	0.372,0.535,0.137	0.158
157	"AT1G55690"	"SFH13"	chr1	-	20812172	20812296	20811824	20811922	20812616	20812840	157	26,23,20	48,29,34	113,99,91	3,1,2	223	99	0	0.0	0.194,0.26,0.207	0.944,0.978,0.953	-0.738
162	"AT1G16020"	"AT1G16020"	chr1	+	5499474	5499513	5499191	5499375	5499640	5499750	162	1,0,0	15,22,6	9,16,8	1,0,0	138	99	0	0.0	0.046,0.0,0.0	0.866,1.0,1.0	-0.94
163	"AT1G07570"	"APK1A"	chr1	-	2333167	2333281	2332613	2332930	2333504	2333633	163	16,33,21	4,5,2	7,8,13	2,2,0	213	99	0.404291014821	0.561431335594	0.65,0.754,0.83	0.619,0.65,1.0	-0.012
169	"AT1G17040"	"SHA"	chr1	+	5825338	5825368	5824847	5825267	5825482	5825674	169	0,2,0	3,3,4	3,1,0	0,0,0	129	99	1	1.0	0.0,0.338,0.0	1.0,1.0,NA	-0.887
170	"AT1G57765"	"AT1G57765"	chr1	+	21393964	21393994	21393350	21393577	21394295	21394553	170	2,0,0	6,4,4	1,2,3	0,1,0	129	99	4.24364476892e-09	9.07079069357e-09	0.204,0.0,0.0	1.0,0.606,1.0	-0.801
174	"AT1G45191"	"BGLU1"	chr1	+	17116402	17116438	17116256	17116320	17116811	17116861	174	1,1,0	1,2,1	4,4,4	0,0,0	135	99	3.15045656751e-06	6.19227670166e-06	0.423,0.268,0.0	1.0,1.0,1.0	-0.77
176	"AT1G08820"	"PVA22"	chr1	-	2824791	2824915	2824363	2824476	2825166	2825275	176	1,0,1	5,1,2	14,8,6	2,2,0	223	99	1	1.0	0.082,0.0,0.182	0.757,0.64,1.0	-0.711
179	"AT1G05960"	"AT1G05960"	chr1	-	1814327	1814390	1814143	1814258	1814446	1814562	179	1,5,2	3,7,7	1,5,1	6,5,3	162	99	0.876632819622	1.0	0.169,0.304,0.149	0.092,0.379,0.169	-0.006
185	"AT1G23600"	"AT1G23600"	chr1	-	8361831	8361969	8361607	8361751	8362071	8362224	185	9,10,10	10,12,6	17,9,10	7,7,8	237	99	0.269406443997	0.387130268265	0.273,0.258,0.41	0.504,0.349,0.343	-0.085
187	"AT1G05000"	"AT1G05000"	chr1	+	1426234	1426330	1426015	1426109	1427898	1427956	187	5,7,7	10,7,9	37,50,56	3,3,3	195	99	6.11732886568e-14	1.53832828828e-13	0.202,0.337,0.283	0.862,0.894,0.905	-0.613
190	"AT1G28330"	"DYL1"	chr1	-	9934450	9934566	9933908	9934288	9934793	9935019	190	60,44,72	1,4,5	0,1,1	23,22,30	215	99	0	0.0	0.965,0.835,0.869	0.0,0.021,0.015	0.878
196	"AT1G78710"	"TBL42"	chr1	+	29604009	29604168	29603725	29603904	29604259	29604557	196	31,31,29	3,2,3	8,11,4	9,10,14	258	99	1.13178355576e-11	2.58046650713e-11	0.799,0.856,0.788	0.254,0.297,0.099	0.598
199	"AT1G15200"	"AT1G15200"	chr1	-	5229127	5229268	5228966	5229051	5229345	5229446	199	7,4,7	43,41,31	74,82,65	4,0,3	240	99	0	0.0	0.063,0.039,0.085	0.884,1.0,0.899	-0.865
200	"AT1G15200"	"AT1G15200"	chr1	-	5229246	5229261	5228966	5229051	5229345	5229446	200	0,0,1	43,41,31	0,0,1	4,0,3	114	99	1	1.0	0.0,0.0,0.027	0.0,NA,0.224	-0.103
201	"AT1G30620"	"MUR4"	chr1	+	10854989	10855050	10854604	10854873	10855429	10855556	201	2,0,1	36,33,37	42,35,45	2,6,2	160	99	0	0.0	0.033,0.0,0.016	0.929,0.783,0.933	-0.865
207	"AT1G10940"	"SRK2A"	chr1	-	3657406	3657430	3657278	3657332	3657522	3657624	207	19,13,27	7,10,20	19,15,30	19,19,22	123	99	0.177570807118	0.264040069715	0.686,0.511,0.521	0.446,0.389,0.523	0.12
211	"AT1G64770"	"PNSB2"	chr1	+	24058588	24058655	24058037	24058472	24059217	24059561	211	38,31,37	3,3,1	2,0,0	32,29,20	166	99	0	0.0	0.883,0.86,0.957	0.036,0.0,0.0	0.888
220	"AT1G79280"	"NUA"	chr1	-	29825492	29825558	29825244	29825328	29825672	29825720	220	0,0,1	9,7,12	7,9,10	0,0,1	165	99	0	0.0	0.0,0.0,0.048	1.0,1.0,0.857	-0.936
221	"AT1G02890"	"AT1G02890"	chr1	-	646405	646489	646125	646310	646566	646689	221	264,215,240	15,17,15	203,197,195	12,7,10	183	99	0.204408122528	0.30132576683	0.905,0.872,0.896	0.901,0.938,0.913	-0.026
225	"AT1G07170"	"AT1G07170"	chr1	+	2200329	2200539	2200122	2200219	2200637	2201265	225	228,232,261	509,481,463	257,268,334	305,293,332	309	99	3.60445850944e-09	7.80205576094e-09	0.126,0.134,0.153	0.213,0.227,0.244	-0.09
226	"AT1G07170"	"AT1G07170"	chr1	+	2200462	2200539	2200173	2200219	2200637	2201049	226	175,151,195	509,481,463	285,252,352	305,293,332	176	99	0	0.0	0.162,0.15,0.192	0.345,0.326,0.374	-0.18
227	"AT1G72416"	"AT1G72416"	chr1	-	27259830	27259915	27259677	27259745	27260019	27260291	227	21,20,13	2,4,10	17,21,25	3,5,6	184	99	0.724381485684	0.897603145304	0.85,0.729,0.412	0.753,0.693,0.692	-0.049
230	"AT1G75630"	"VHA-C4"	chr1	+	28401605	28401707	28400833	28401119	28401899	28402355	230	0,0,0	8,7,7	8,13,15	1,0,0	201	99	0	0.0	0.0,0.0,0.0	0.798,1.0,1.0	-0.933
233	"AT1G45249"	"ABF2"	chr1	-	17166036	17166069	17165710	17165782	17166341	17167451	233	39,20,29	4,1,5	3,1,3	30,43,32	132	99	0	0.0	0.88,0.938,0.813	0.07,0.017,0.066	0.826
235	"AT1G37140"	"MCT1"	chr1	-	14171575	14171668	14171342	14171487	14171753	14172040	235	2,0,3	29,19,21	68,68,62	1,0,1	192	99	1	1.0	0.034,0.0,0.069	0.972,1.0,0.97	-0.946
241	"AT1G35530"	"AT1G35530"	chr1	+	13093093	13093228	13092819	13092981	13093327	13093663	241	16,10,32	0,1,0	18,27,18	1,0,0	234	99	1	1.0	1.0,0.809,1.0	0.884,1.0,1.0	-0.025
243	"AT1G01160"	"GIF2"	chr1	+	72914	73016	72356	72669	73086	73163	243	0,4,0	28,36,37	32,29,30	1,0,0	201	99	1	1.0	0.0,0.052,0.0	0.94,1.0,1.0	-0.963
251	"AT1G21630"	"AT1G21630"	chr1	+	7584340	7584430	7584052	7584276	7584694	7584769	251	13,10,12	0,0,0	0,0,0	3,2,2	189	99	0	0.0	1.0,1.0,1.0	0.0,0.0,0.0	1.0
252	"AT1G43620"	"UGT80B1"	chr1	-	16429642	16429754	16429349	16429558	16430028	16430181	252	56,49,59	17,11,22	39,76,66	10,14,16	211	99	0.217655992643	0.318112604632	0.607,0.676,0.557	0.647,0.718,0.659	-0.061
260	"AT1G51200"	"SAP2"	chr1	+	18984723	18984756	18984433	18984554	18985687	18986568	260	1,1,2	4,6,9	1,1,0	8,4,7	132	99	0.0359821026363	0.0640931203209	0.158,0.111,0.143	0.086,0.158,0.0	0.056
271	"AT1G44750"	"PUP11"	chr1	+	16893564	16893831	16892640	16892730	16894071	16895465	271	3,7,9	2,1,2	7,6,7	4,4,1	366	99	0.47679354373	0.641981858093	0.289,0.654,0.549	0.321,0.289,0.654	0.076
273	"AT1G42480"	"AT1G42480"	chr1	+	15937450	15937499	15937218	15937249	15937620	15937693	273	32,49,41	5,5,1	1,0,0	38,36,33	148	99	0	0.0	0.811,0.868,0.965	0.017,0.0,0.0	0.876
274	"AT1G03910"	"CTN"	chr1	+	998168	998300	997754	997895	998419	998515	274	0,1,1	9,7,5	9,9,11	0,0,0	231	99	0	0.0	0.0,0.058,0.079	1.0,1.0,1.0	-0.954
279	"AT1G28570"	"AT1G28570"	chr1	-	10043047	10043263	10042523	10042672	10043850	10044147	279	148,143,173	6,4,6	27,32,29	43,40,24	315	99	0	0.0	0.886,0.918,0.901	0.165,0.201,0.275	0.688
283	"AT1G17460"	"TRFL3"	chr1	+	6000049	6000109	5999776	5999951	6000286	6000345	283	19,26,26	1,0,1	0,0,1	7,6,5	159	99	0	0.0	0.922,1.0,0.942	0.0,0.0,0.111	0.918
290	"AT1G17450"	"AT1G17450"	chr1	-	5992723	5992756	5992249	5992632	5992917	5993019	290	18,9,15	0,0,0	0,0,1	4,5,5	132	99	0	0.0	1.0,1.0,1.0	0.0,0.0,0.13	0.957
293	"AT1G68580"	"AT1G68580"	chr1	+	25753367	25753422	25752734	25753118	25753543	25753626	293	8,4,8	12,9,15	5,7,6	12,15,7	154	99	0.861808655213	1.0	0.3,0.222,0.255	0.211,0.231,0.355	-0.007
294	"AT1G67900"	"AT1G67900"	chr1	+	25467031	25467159	25464725	25464987	25467618	25467795	294	32,33,19	0,2,0	3,3,6	19,14,23	227	99	0	0.0	1.0,0.878,1.0	0.064,0.085,0.102	0.876
299	"AT1G60670"	"AT1G60670"	chr1	+	22346539	22346601	22346256	22346339	22346716	22346813	299	34,28,33	11,8,16	19,40,41	11,9,8	161	99	0.497067459378	0.658903376385	0.655,0.683,0.559	0.515,0.732,0.759	-0.036
305	"AT1G28630"	"AT1G28630"	chr1	-	10062185	10062299	10061915	10062032	10062438	10062540	305	70,63,83	7,5,7	63,57,76	7,8,7	213	99	0.453539698149	0.615518161774	0.823,0.854,0.846	0.807,0.768,0.835	0.038
313	"AT1G75180"	"AT1G75180"	chr1	-	28216740	28216786	28215840	28216380	28217194	28218008	313	37,31,47	0,0,0	0,0,0	14,9,13	145	99	0	0.0	1.0,1.0,1.0	0.0,0.0,0.0	1.0
314	"AT1G08840"	"emb2411"	chr1	-	2834016	2834073	2833491	2833626	2834150	2834261	314	0,0,0	2,1,1	2,1,1	0,0,0	156	99	1.5150103394e-12	3.59814955607e-12	0.0,0.0,0.0	1.0,1.0,1.0	-1.0
316	"AT1G15750"	"TPL"	chr1	-	5420538	5420573	5420279	5420431	5420836	5421033	316	3,2,1	3,3,3	1,0,2	2,2,2	134	99	0.126114803048	0.196051193829	0.425,0.33,0.198	0.27,0.0,0.425	0.086
320	"AT1G64790"	"ILA"	chr1	-	24076476	24076593	24076208	24076310	24076672	24076966	320	17,26,21	1,1,0	1,3,1	21,18,24	216	99	1	1.0	0.886,0.923,1.0	0.021,0.071,0.019	0.899
339	"AT1G14760"	"KNATM"	chr1	-	5084825	5084951	5084351	5084655	5085048	5085213	339	4,1,1	6,10,10	32,26,20	1,2,1	225	99	0	0.0	0.227,0.042,0.042	0.934,0.851,0.898	-0.791
340	"AT1G78915"	"AT1G78915"	chr1	-	29669750	29669801	29669625	29669695	29669928	29669999	340	8,10,1	3,4,8	4,2,2	1,1,4	150	99	0.835806522055	0.99252024494	0.638,0.623,0.076	0.725,0.569,0.248	-0.068
344	"AT1G69587"	"AT1G69587"	chr1	-	26177141	26177250	26176344	26176449	26179204	26179351	344	15,11,7	14,16,13	30,16,25	18,13,12	208	99	0.0140982610737	0.0262043765609	0.338,0.247,0.204	0.442,0.369,0.498	-0.173
349	"AT1G61010"	"CPSF73-I"	chr1	-	22474629	22474669	22474297	22474547	22474929	22476597	349	4,0,2	2,1,1	0,2,1	2,3,1	139	99	0.0883914282962	0.141261067651	0.588,0.0,0.588	0.0,0.322,0.416	0.146
357	"AT1G03830"	"AT1G03830"	chr1	-	965822	965888	965598	965736	965995	966157	357	0,0,0	6,9,12	5,3,6	0,0,1	165	99	0	0.0	0.0,0.0,0.0	1.0,1.0,0.783	-0.928
359	"AT1G03960"	"B''EPSILON"	chr1	+	1014620	1014676	1013714	1014543	1014766	1014872	359	3,2,2	10,4,8	21,18,20	2,3,2	155	99	7.86759546401e-12	1.81805246533e-11	0.161,0.242,0.138	0.87,0.793,0.865	-0.662
362	"AT1G74140"	"AT1G74140"	chr1	+	27879359	27879401	27879177	27879279	27879488	27879777	362	31,35,28	7,6,5	33,11,24	8,4,2	141	99	0.885235894178	1.0	0.757,0.804,0.797	0.743,0.659,0.894	0.021
367	"AT1G56460"	"AT1G56460"	chr1	+	21147015	21147105	21146724	21146905	21147398	21147740	367	2,1,0	11,8,2	14,8,16	0,0,0	189	99	0	0.0	0.087,0.061,0.0	1.0,1.0,1.0	-0.951
368	"AT1G28560"	"SRD2"	chr1	-	10040007	10040040	10039774	10039889	10040204	10040257	368	6,6,3	37,26,42	32,32,38	2,4,5	132	99	0	0.0	0.108,0.148,0.051	0.923,0.857,0.851	-0.775
371	"AT1G08110"	"AT1G08110"	chr1	+	2535569	2535585	2535328	2535385	2535674	2535794	371	4,5,7	5,5,4	5,1,7	5,4,6	115	99	0.530283231739	0.692201775781	0.408,0.463,0.601	0.463,0.177,0.501	0.11
375	"AT1G51530"	"AT1G51530"	chr1	+	19110992	19111028	19110580	19110691	19111112	19111254	375	3,5,7	2,1,1	1,0,0	11,5,14	135	99	5.21593879199e-12	1.22181579922e-11	0.524,0.786,0.837	0.063,0.0,0.0	0.695
379	"AT1G22180"	"AT1G22180"	chr1	-	7829670	7829751	7829379	7829556	7830150	7830392	379	14,9,11	2,1,1	8,12,9	2,4,0	180	99	0.769980505011	0.947242204006	0.794,0.832,0.858	0.688,0.623,1.0	0.058
383	"AT1G23170"	"AT1G23170"	chr1	+	8213322	8213460	8212555	8213230	8213570	8213759	383	13,12,11	0,1,0	2,3,6	11,10,8	237	99	2.33146835171e-15	6.13355520219e-15	1.0,0.834,1.0	0.071,0.111,0.239	0.804
384	"AT1G61660"	"BHLH112"	chr1	-	22754963	22755029	22754768	22754834	22755115	22755214	384	0,0,0	23,18,27	32,42,36	0,0,0	165	99	0	0.0	0.0,0.0,0.0	1.0,1.0,1.0	-1.0
389	"AT1G34460"	"CYCB1-5"	chr1	+	12599315	12599371	12599095	12599249	12599574	12599628	389	21,25,17	0,0,1	1,0,3	20,31,20	155	99	0	0.0	1.0,1.0,0.916	0.031,0.0,0.087	0.933
395	"AT1G71750"	"HGPT"	chr1	-	26988134	26988164	26987774	26988052	26988337	26988502	395	29,13,13	1,4,0	2,3,3	14,12,14	129	99	1.66533453694e-15	4.44956571589e-15	0.957,0.714,1.0	0.099,0.161,0.141	0.757
399	"AT1G21080"	"AT1G21080"	chr1	-	7379023	7379050	7378537	7378926	7379331	7379469	399	4,3,5	1,0,1	2,3,3	3,4,1	126	99	0.000204022916103	0.000391999085996	0.759,1.0,0.797	0.344,0.371,0.702	0.38
404	"AT1G05230"	"HDG2"	chr1	-	1517148	1517234	1516782	1517057	1518180	1518226	404	6,9,9	0,1,0	185,188,193	1,1,2	185	99	1	1.0	1.0,0.828,1.0	0.99,0.99,0.981	-0.044
408	"AT1G18730"	"PNSB4"	chr1	+	6461843	6461910	6461317	6461389	6461993	6462224	408	16,15,19	0,0,0	0,1,0	16,13,22	166	99	0	0.0	1.0,1.0,1.0	0.0,0.044,0.0	0.985
410	"AT1G61240"	"AT1G61240"	chr1	+	22582081	22582128	22581638	22581721	22582296	22582433	410	9,9,4	6,2,1	19,15,23	9,6,6	146	99	0.962164476785	1.0	0.504,0.753,0.731	0.589,0.629,0.722	0.016
415	"AT1G79230"	"STR1"	chr1	+	29801021	29801190	29800692	29800925	29801288	29801474	415	2,0,1	12,18,18	0,0,1	16,12,20	268	99	1	1.0	0.058,0.0,0.02	0.0,0.0,0.018	0.02
420	"AT1G24350"	"AT1G24350"	chr1	-	8639284	8639418	8638915	8639172	8639505	8639598	420	47,50,40	29,38,39	54,43,44	26,24,23	233	99	0.0607976333143	0.100935876667	0.408,0.359,0.304	0.469,0.432,0.448	-0.093
421	"AT1G24350"	"AT1G24350"	chr1	-	8639368	8639422	8638981	8639172	8639505	8639598	421	42,55,47	29,38,39	38,34,48	26,24,23	153	99	0.384841363349	0.539408796169	0.484,0.484,0.438	0.486,0.478,0.575	-0.044
424	"AT1G05320"	"AT1G05320"	chr1	+	1553893	1553949	1553607	1553759	1554812	1554900	424	14,17,17	4,10,8	7,10,12	6,10,8	155	99	0.112404911577	0.17797444333	0.691,0.521,0.576	0.427,0.39,0.489	0.161
426	"AT1G13350"	"AT1G13350"	chr1	-	4575914	4575995	4575407	4575835	4576238	4576632	426	14,15,5	6,4,3	13,8,13	4,6,7	180	99	0.559881431693	0.725300945602	0.562,0.673,0.478	0.641,0.423,0.505	0.048
