cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_19_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G01920
chr1:clu_190_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GN
chr1:clu_191_NA	Not enough valid samples	NA	NA	NA	NA	AT1G13990
chr1:clu_192_NA	Not enough valid samples	NA	NA	NA	NA	AT1G14170
chr1:clu_193_NA	Not enough valid samples	NA	NA	NA	NA	AT1G14180
chr1:clu_194_NA	Success	8.28516053956826	1	4.68789369364627e-05	9.57669711702024e-05	APY3
chr1:clu_195_NA	Not enough valid samples	NA	NA	NA	NA	APY3
chr1:clu_196_NA	Not enough valid samples	NA	NA	NA	NA	AT1G14270
chr1:clu_197_NA	Not enough valid samples	NA	NA	NA	NA	IQD28
chr1:clu_198_NA	Success	3.37304965954127	1	0.00939528674571358	0.0156223954027563	UBC1
chr1:clu_199_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZHD4
chr1:clu_2_NA	Success	0.114580403745151	1	0.63214677637904	0.706226476735959	LHY
chr1:clu_20_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CSN7
chr1:clu_200_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G14480
chr1:clu_201_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MIOX1
chr1:clu_202_NA	Not enough valid samples	NA	NA	NA	NA	PUX7
chr1:clu_203_NA	Success	12.6862661821079	1	4.72599679141223e-07	2.59929823527673e-06	PUX7
chr1:clu_204_NA	Success	10.9711062996402	1	2.80984757875366e-06	1.09266486320816e-05	IDD6
chr1:clu_205_NA	Success	7.76638845833637	1	8.10870213551533e-05	0.000159937159362578	NHX8
chr1:clu_206_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PAP3
chr1:clu_207_NA	Not enough valid samples	NA	NA	NA	NA	KNATM
chr1:clu_208_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G14820
chr1:clu_209_NA	Not enough valid samples	NA	NA	NA	NA	MAP70.4
chr1:clu_21_NA	Success	11.5012378306909	1	1.61792915365343e-06	7.0110263324982e-06	AT1G02100
chr1:clu_210_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G14940
chr1:clu_211_NA	Not enough valid samples	NA	NA	NA	NA	AT1G14990
chr1:clu_212_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PSS1
chr1:clu_213_NA	Not enough valid samples	NA	NA	NA	NA	AT1G15120
chr1:clu_214_NA	Not enough valid samples	NA	NA	NA	NA	AT1G15180
chr1:clu_215_NA	Success	19.1600235169141	2	4.77427590753295e-09	8.53401818471514e-08	AT1G15200
chr1:clu_216_NA	Success	0.0755707148341145	1	0.697446945065776	0.770153769454873	SHH1
chr1:clu_217_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SHH1
chr1:clu_218_NA	Not enough valid samples	NA	NA	NA	NA	AT1G15350
chr1:clu_219_NA	Not enough valid samples	NA	NA	NA	NA	AT1G15350
chr1:clu_22_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ALG12
chr1:clu_220_NA	Success	4.50339903515018	1	0.00268977233068692	0.00474861041096579	AT1G15400
chr1:clu_221_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G15610
chr1:clu_222_NA	Not enough valid samples	NA	NA	NA	NA	AT1G15790
chr1:clu_223_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G15860
chr1:clu_224_NA	Success	0.0520870688285413	1	0.746876867505555	0.812193095462315	MRS2-1
chr1:clu_225_NA	Not enough valid samples	NA	NA	NA	NA	AT1G16020
chr1:clu_226_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G16180
chr1:clu_227_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SYP51
chr1:clu_228_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SYP51
chr1:clu_229_NA	Success	10.3594823044178	1	5.31866258666086e-06	1.5521811222296e-05	KDSA2
chr1:clu_23_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ALG12
chr1:clu_230_NA	Not enough valid samples	NA	NA	NA	NA	AT1G16560
chr1:clu_231_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SR45
chr1:clu_232_NA	Not enough valid samples	NA	NA	NA	NA	HAC12
chr1:clu_233_NA	Not enough valid samples	NA	NA	NA	NA	AT1G16810
chr1:clu_234_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G16820
chr1:clu_235_NA	Not enough valid samples	NA	NA	NA	NA	UBC36
chr1:clu_236_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UBP15
chr1:clu_237_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G17160
chr1:clu_238_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G17200
chr1:clu_239_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UBC34
chr1:clu_24_NA	Not enough valid samples	NA	NA	NA	NA	AT1G02190
chr1:clu_240_NA	Not enough valid samples	NA	NA	NA	NA	AT1G17350
chr1:clu_241_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G17410
chr1:clu_242_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G17450
chr1:clu_243_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G17450
chr1:clu_244_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G17450
chr1:clu_245_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G17450
chr1:clu_246_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G17450
chr1:clu_247_NA	Not enough valid samples	NA	NA	NA	NA	TRFL3
chr1:clu_248_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DRG1
chr1:clu_249_NA	Not enough valid samples	NA	NA	NA	NA	NFYA8
chr1:clu_25_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CER1
chr1:clu_250_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	STR8
chr1:clu_251_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GER2
chr1:clu_252_NA	Not enough valid samples	NA	NA	NA	NA	PAPS1
chr1:clu_253_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G18030
chr1:clu_254_NA	Success	1.34522539184951	1	0.100951250726376	0.150375300561165	AT1G18070
chr1:clu_255_NA	Success	0.228959231046758	1	0.498598392725761	0.599156051762889	AT1G18070
chr1:clu_256_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RABA6B,CML27
chr1:clu_257_NA	Not enough valid samples	NA	NA	NA	NA	ATLP-1
chr1:clu_258_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G18390
chr1:clu_259_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ALMT3,AT1G18415
chr1:clu_26_NA	Not enough valid samples	NA	NA	NA	NA	TOC33
chr1:clu_260_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G18620
chr1:clu_261_NA	Not enough valid samples	NA	NA	NA	NA	AT1G18660
chr1:clu_262_NA	Not enough valid samples	NA	NA	NA	NA	AT1G18700
chr1:clu_263_NA	Not enough valid samples	NA	NA	NA	NA	AT1G18700
chr1:clu_264_NA	Not enough valid samples	NA	NA	NA	NA	PNSB4
chr1:clu_265_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PNSB4
chr1:clu_266_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	IQD30
chr1:clu_267_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G18900
chr1:clu_268_NA	Success	21.6920444514216	2	3.79546327508735e-10	1.08550249667498e-08	TTN10
chr1:clu_269_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G19140
chr1:clu_27_NA	Success	0.119950897187493	1	0.624277053032352	0.706226476735959	AT1G02470
chr1:clu_270_NA	Not enough valid samples	NA	NA	NA	NA	RBOHE
chr1:clu_271_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G19330
chr1:clu_272_NA	Success	0.130941767192468	2	0.877268858732241	0.905772179052062	BZR2
chr1:clu_273_NA	Success	24.4907632279202	3	1.31632325725053e-10	5.37812073676645e-09	AT1G19396,AT1G19394
chr1:clu_274_NA	Not enough valid samples	NA	NA	NA	NA	AT1G19485
chr1:clu_275_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DHAR1
chr1:clu_276_NA	Not enough valid samples	NA	NA	NA	NA	GAMMACA1
chr1:clu_277_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BBD2
chr1:clu_278_NA	Not enough valid samples	NA	NA	NA	NA	BLH10
chr1:clu_279_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	JAL3
chr1:clu_28_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SAM1
chr1:clu_280_NA	Success	1.46516762084445	3	0.402491296500945	0.502674719647469	TGD1
chr1:clu_281_NA	Not enough valid samples	NA	NA	NA	NA	LFNR2
chr1:clu_282_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CAT3
chr1:clu_283_NA	Success	0.135449757217032	1	0.602729007791465	0.692291149511482	AT1G20680
chr1:clu_284_NA	Success	1.91335470211948	2	0.147584453327993	0.209217093142053	HMGB2
chr1:clu_285_NA	Not enough valid samples	NA	NA	NA	NA	AT1G20880
chr1:clu_286_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G21000
chr1:clu_287_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G21060
chr1:clu_288_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G21080
chr1:clu_289_NA	Success	4.41808533865944	1	0.00295318140477161	0.00518165571634773	AT1G21320
chr1:clu_29_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	IMPA6
chr1:clu_290_NA	Not enough valid samples	NA	NA	NA	NA	AT1G21350
chr1:clu_291_NA	Success	17.4290511584549	2	2.69562364430983e-08	3.03150777720257e-07	AT1G21350
chr1:clu_292_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G21610
chr1:clu_293_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G21610
chr1:clu_294_NA	Not enough valid samples	NA	NA	NA	NA	NADK2
chr1:clu_295_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SECA2
chr1:clu_296_NA	Not enough valid samples	NA	NA	NA	NA	RFC4
chr1:clu_297_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RFC4
chr1:clu_298_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G22080
chr1:clu_299_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G22180
chr1:clu_3_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G01080
chr1:clu_30_NA	Success	17.578162248444	1	3.04271620247928e-09	6.69397564545441e-08	SR34
chr1:clu_300_NA	Success	5.83844742552036	1	0.00063281058579936	0.00117521965934167	AT1G22200
chr1:clu_301_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PAPP2C
chr1:clu_302_NA	Not enough valid samples	NA	NA	NA	NA	GRF10
chr1:clu_303_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G22510
chr1:clu_304_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G22520
chr1:clu_305_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G22660
chr1:clu_306_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GASA9
chr1:clu_307_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G22700
chr1:clu_308_NA	Success	6.59676617387993	3	0.00423623537555488	0.00721168641314699	AT1G22750
chr1:clu_309_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G22790
chr1:clu_31_NA	Success	0.000391563789989391	1	0.977674579924404	0.981105017046946	SR34
chr1:clu_310_NA	Success	11.4159352748748	1	1.7680927218155e-06	7.54738087222737e-06	CYTC-1
chr1:clu_311_NA	Success	8.24456558047046	1	4.89297622804347e-05	9.8548676142284e-05	AT1G22885
chr1:clu_312_NA	Success	14.9056192799858	2	3.36179941556929e-07	2.0030721517767e-06	AT1G22910
chr1:clu_313_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FRO3
chr1:clu_314_NA	Not enough valid samples	NA	NA	NA	NA	PIN7
chr1:clu_315_NA	Success	16.91471212394	2	4.50851855726993e-08	4.15947195928774e-07	AT1G23110
chr1:clu_316_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G23170
chr1:clu_317_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MED23
chr1:clu_318_NA	Not enough valid samples	NA	NA	NA	NA	PXG7
chr1:clu_319_NA	Not enough valid samples	NA	NA	NA	NA	GGAT1
chr1:clu_32_NA	Not enough valid samples	NA	NA	NA	NA	BGLU11
chr1:clu_320_NA	Not enough valid samples	NA	NA	NA	NA	KNAT6
chr1:clu_321_NA	Not enough valid samples	NA	NA	NA	NA	AT1G23520
chr1:clu_322_NA	Success	1.14950751740184	2	0.316792745882613	0.408120384335258	AT1G23570
chr1:clu_323_NA	Not enough valid samples	NA	NA	NA	NA	AT1G23600
chr1:clu_324_NA	Success	17.20669803508	2	3.3668672374084e-08	3.33005036583776e-07	AT1G23690
chr1:clu_325_NA	Success	10.3627086773081	1	5.30077011265102e-06	1.5521811222296e-05	AT1G23690
chr1:clu_326_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SPDS1
chr1:clu_327_NA	Success	12.2920000016784	2	4.5883044561031e-06	1.44203854334669e-05	RSZ21
chr1:clu_328_NA	Success	16.6875014565358	2	5.65861570614987e-08	4.49545581099684e-07	AT1G23950
chr1:clu_329_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G23970
chr1:clu_33_NA	Success	0.126839882103425	1	0.614495878090651	0.700182554318431	BGLU11
chr1:clu_330_NA	Not enough valid samples	NA	NA	NA	NA	SEP3
chr1:clu_331_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SEP3
chr1:clu_332_NA	Success	2.11843667426649	1	0.0395549486821058	0.0618181165195752	AT1G24300
chr1:clu_333_NA	Success	2.40007375976393	4	0.308424982325921	0.400952477023698	AT1G24350
chr1:clu_334_NA	Not enough valid samples	NA	NA	NA	NA	RWK1
chr1:clu_335_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ALB3L1
chr1:clu_336_NA	Success	10.0513856335777	1	7.33902577928625e-06	1.94348275266284e-05	THO2
chr1:clu_337_NA	Success	0.0197093356939604	1	0.842621528640738	0.889521951215675	AT1G24735
chr1:clu_338_NA	Success	0.195439878704207	1	0.531837326115929	0.631143050909359	AT1G25275
chr1:clu_339_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TULP10
chr1:clu_34_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BAH1
chr1:clu_340_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RBL10
chr1:clu_341_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MYB116
chr1:clu_342_NA	Success	11.6765170375371	1	1.3483066629455e-06	6.21960815487762e-06	ERF116,CPuORF54
chr1:clu_343_NA	Not enough valid samples	NA	NA	NA	NA	AT1G25500
chr1:clu_344_NA	Success	0.335637756947108	2	0.71488201996367	0.780367395838204	MED25
chr1:clu_345_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DCP5
chr1:clu_346_NA	Success	8.29106897291807	1	4.65877393725398e-05	9.57669711702024e-05	ALA12
chr1:clu_347_NA	Not enough valid samples	NA	NA	NA	NA	ALA12
chr1:clu_348_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G26208
chr1:clu_349_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UPS5
chr1:clu_35_NA	Success	10.5951913698637	1	4.15845962568902e-06	1.39684344221789e-05	TPK1
chr1:clu_350_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UPS5
chr1:clu_351_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G26558
chr1:clu_352_NA	Not enough valid samples	NA	NA	NA	NA	ELF5A-2
chr1:clu_353_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G26850
chr1:clu_354_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G26850
chr1:clu_355_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G27110
chr1:clu_356_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G27170
chr1:clu_357_NA	Success	0.46760193545137	2	0.626502862606985	0.706226476735959	SPL11
chr1:clu_358_NA	Success	0.831718452096908	2	0.435300599986147	0.534317474661107	SPL10
chr1:clu_359_NA	Success	7.34960653972248	1	0.000126099077179774	0.000245335619547044	AT1G27385
chr1:clu_36_NA	Success	2.07650530867249	2	0.12536756849521	0.184820229843454	AT1G02890
chr1:clu_360_NA	Not enough valid samples	NA	NA	NA	NA	APT1
chr1:clu_361_NA	Success	0.203677434980705	1	0.523315131267399	0.62361719809365	APT1
chr1:clu_362_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G27570
chr1:clu_363_NA	Not enough valid samples	NA	NA	NA	NA	AT1G27570
chr1:clu_364_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G27752
chr1:clu_365_NA	Success	2.32618653608613	1	0.0310106484885978	0.0501076015126495	SAT32
chr1:clu_366_NA	Success	10.0302034742834	1	7.50340941148993e-06	1.95088644698738e-05	ATCSA-1
chr1:clu_367_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G27921
chr1:clu_368_NA	Success	1.13806138020811	1	0.13137995040539	0.190734344243358	AT1G28100
chr1:clu_369_NA	Success	10.9652072712921	1	2.82717482088824e-06	1.09266486320816e-05	AT1G28100
chr1:clu_37_NA	Not enough valid samples	NA	NA	NA	NA	GSTF4
chr1:clu_370_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATJ1
